IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC
2567,1.1968,1.1271,1.5748,1.3883,0.1688,6.2132,10.9369,33.0,0,0.0,,99.0,1.52,11.0855,33.0,0.0,0.0039158,,1000000000.0,3.60246,8,16380,,,,28.002,29.311,28.462,27.545,27.532,27.588,27.319,,25.129,24.609,24.961,,,27.598,27.598,27.784,28.006,28.202,28.003,28.074,28.014,27.921,28.372,28.495,28.689,29.131,29.293,29.124,8.82475,7.32424,-2.06854,,,,AS1063clu,342.1731994,-44.5419567
2568,0.0,0.0,8.0,,,,1000000000.0,,-100,-99.9,-99.9,99.0,-99.9,1000000000.0,,,,,1000000000.0,3.60246,8,16380,,,,-3.825,-4.19,-2.549,-8.418,-7.968,-8.422,-7.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS1063clu,342.1603503,-44.5464295
2569,0.30313,0.0,0.7624,1.2138,0.2143,3.3157,1.75202,33.0,3,0.15,,99.0,3.06,0.408485,33.0,0.1,0.815265,,1000000000.0,14.775,8,16380,,,,27.914,26.917,26.761,27.436,26.826,26.961,26.874,26.986,,,,24.813,,27.571,27.408,27.46,27.442,27.28,26.993,27.009,26.891,26.81,26.852,26.828,27.06,27.479,27.577,26.983,8.84705,7.39235,-2.00135,,,,AS1063clu,342.1586209,-44.5419526
2571,0.0,0.0,0.0794,1.2084,0.2056,5.7501,6.60447,33.0,3,0.15,,99.0,1.41,6.13567,33.0,0.15,0.0465217,,1000000000.0,95.1184,7,16376,,,,,25.869,25.196,24.786,24.439,24.383,24.097,25.981,23.948,24.313,22.953,,,25.528,25.386,25.438,25.42,25.194,24.88,24.952,24.675,24.516,24.83,24.807,25.038,25.457,25.555,24.961,8.8897,8.52395,-0.88502,,,,AS1063clu,342.1611271,-44.542279
2574,5.3468,5.0952,6.0534,1.1656,0.1362,5.434,20.1397,33.0,3,0.15,,99.0,0.0,18.9745,3.0,0.0,7.5814e-05,,1000000000.0,20.8631,8,16380,,,,29.702,28.066,27.341,25.57,25.459,25.306,25.321,,,,,22.636,,27.078,26.955,27.031,26.992,26.741,26.455,26.577,26.25,26.097,26.405,26.39,26.641,27.06,27.151,26.449,8.82894,7.31191,-1.95598,,,,AS1063clu,342.1596496,-44.5428427
2576,0.0,0.0,8.0,,,,1000000000.0,,-100,-99.9,-99.9,99.0,-99.9,1000000000.0,,,,,1000000000.0,20.8631,7,16376,,,,,-3.179,-2.874,-5.301,-5.551,-5.636,-5.938,,24.505,25.541,,24.071,,,,,,,,,,,,,,,,,,,,,,,AS1063clu,342.1586169,-44.5435368
2581,0.0,0.0,0.1081,2.0,0.4443,6.6998,8.11288,33.0,3,0.3,,99.0,6.05,5.45172,33.0,0.0,0.06549,,1000000000.0,110.116,8,16380,,,,28.663,27.888,27.247,26.176,26.101,26.008,25.735,27.86,23.577,24.173,22.818,,,30.602,28.58,27.838,27.73,27.4,26.98,26.627,26.441,26.305,26.215,25.898,25.801,25.898,26.32,25.42,8.95102,8.23444,-1.39307,,,,AS1063clu,342.159279,-44.5439647
2582,5.2255,0.0,8.0,3.856,1.1885,6.653,36.9312,33.0,0,0.0,,99.0,4.14,36.9275,33.0,0.0,9.5783e-09,,1000000000.0,219.703,8,16380,,,,,22.055,21.367,18.647,18.387,18.179,18.225,25.668,20.463,20.783,22.201,21.384,,,,27.632,25.361,25.194,25.37,25.512,25.606,25.704,25.562,25.516,25.837,25.906,26.007,27.331,8.99367,9.08472,-0.81628,,,,AS1063clu,342.1574965,-44.5446577
2585,0.0,0.0,8.0,3.855,1.2008,6.6508,14.2706,33.0,0,0.0,,99.0,2.62,14.2706,33.0,0.0,0.000796476,,1000000000.0,313.374,8,16380,,,,-2.371,-4.085,-3.998,-6.264,-6.132,-6.666,-6.647,25.176,20.397,20.343,21.175,21.258,,,,27.246,24.976,24.808,24.984,25.126,25.221,25.319,25.176,25.131,25.451,25.521,25.622,26.945,8.99548,9.27272,-0.63322,,,,AS1063clu,342.1569746,-44.5464337
2586,0.36227,0.0734,0.653,0.381,0.1922,0.6261,0.147265,2.0,0,0.0,2000000000.0,99.0,0.02,2.00476,26.0,0.5,0.367004,,1000000000.0,157318000.0,8,16380,,,,27.907,26.38,25.612,25.308,25.116,25.025,24.935,24.765,23.498,,24.037,24.099,,29.891,29.547,28.027,26.425,25.627,25.285,25.09,24.998,24.945,24.775,25.319,25.596,25.954,26.52,28.587,9.38848,7.92997,-3.86003,,,,AS1063clu,342.1621399,-44.543857
2590,2.2632,0.0,3.2837,1.8095,0.3405,3.388,0.398829,31.0,0,0.0,,99.0,1.57,0.42557,33.0,0.05,0.80833,,1000000000.0,5.93438,8,16380,,,,28.006,27.905,28.73,28.347,28.359,27.976,28.051,27.881,,,,,,28.703,28.022,27.978,28.127,28.313,28.161,27.947,27.976,28.026,28.094,28.174,28.197,28.448,28.934,28.353,8.83984,7.63782,-1.77386,,,,AS1063clu,342.1837039,-44.5419619
2591,0.039515,0.0,0.2294,0.3339,0.0939,0.6669,2.17314,27.0,3,0.25,,99.0,0.48,1.84325,27.0,0.2,0.397873,,1000000000.0,4.39546,8,16380,,,,27.071,25.646,25.237,24.964,24.715,24.554,24.409,24.602,26.011,24.48,22.173,23.44,,27.707,27.395,26.89,25.71,25.172,24.859,24.679,24.617,24.583,24.398,24.901,25.066,25.575,25.263,24.134,9.33735,7.80505,-3.66827,,,,AS1063clu,342.187578,-44.5402157
2593,0.37225,0.0,0.6719,1.1422,0.2425,3.9587,3.97863,33.0,3,0.25,,99.0,0.07,2.08321,33.0,0.5,0.352888,,1000000000.0,7.38983,8,16380,,,,30.547,28.001,27.791,28.148,28.022,27.712,27.492,27.989,,,24.202,,,29.279,29.034,29.082,28.817,28.36,27.972,28.029,27.636,27.513,27.664,27.548,27.779,28.161,28.237,27.467,9.02332,7.08627,-2.81496,,,,AS1063clu,342.2025281,-44.5421353
2598,0.0,0.0,8.0,3.1845,0.8129,6.5374,1.41306,33.0,3,0.2,,99.0,1.15,1.00631,33.0,0.2,0.60462,,1000000000.0,26.9966,7,16372,,,,30.414,,29.375,28.884,29.153,28.776,28.771,,26.479,,,25.085,,,,30.313,29.254,29.136,29.081,28.981,28.92,28.775,28.39,28.249,28.154,28.112,28.212,28.881,8.96172,7.75264,-2.09514,,,,AS1063clu,342.1597348,-44.5422786
2601,3.7179,0.0229,5.1553,3.1518,0.9319,5.6968,0.182019,32.0,1,0.3,,99.0,3.28,0.103138,32.0,0.3,0.949738,,1000000000.0,175.112,7,16376,,,,,28.491,27.968,27.613,27.54,27.356,27.373,26.615,,,,,,,,29.817,28.461,28.054,27.851,27.718,27.56,27.303,26.684,26.261,26.09,25.986,26.019,26.579,8.98065,8.50565,-1.20425,,,,AS1063clu,342.1683311,-44.5427324
2602,0.0,0.0,0.9703,2.42,0.4916,6.2388,2.91902,31.0,1,0.2,,99.0,0.55,1.27588,1.0,0.0,0.52838,,1000000000.0,28.8312,8,16380,,,,30.955,28.499,28.22,27.985,27.664,28.019,27.562,29.135,,,,26.158,,38.783,30.322,29.154,28.804,28.664,28.557,28.239,27.967,27.778,27.479,27.3,27.271,27.221,27.572,27.441,8.98776,7.83813,-2.08759,,,,AS1063clu,342.1734376,-44.5424466
