catalog_index,id,ra,dec,z_source,cluster,z_lens,best_mu,median_mu,n_valid_mu_models,mu_model_000,mu_model_001,mu_model_002,mu_model_003,mu_model_004,mu_model_005,mu_model_006,mu_model_007,mu_model_008,mu_model_009,mu_model_010,mu_model_011,mu_model_012,mu_model_013,mu_model_014,mu_model_015,mu_model_016,mu_model_017,mu_model_018,mu_model_019,mu_model_020,SIMBAD_MAIN_ID,SIMBAD_RA,SIMBAD_DEC,SIMBAD_OTYPE,SIMBAD_ZSPEC,SIMBAD_RVZ_QUAL,SIMBAD_RVZ_BIBCODE,SIMBAD_MATCH_SEP_ARCSEC,ZSPEC_SOURCE
357,1269,342.1911103,-44.5329433,4.21,abells1063,0.348,64.09,64.09,21,64.09,1044.11,15.26,15.26,15.67,65.7,65.7,96.97,142.17,420.5,54.79,199.41,126.5,99.88,56.92,44.12,44.12,44.32,24.74,238.1,27.07,[KCC2017] NE-49,342.1911,-44.53295,G,0.347,D,2017A&A...599A..28K,0.035783305856507255,SIMBAD
359,1271,342.1915748,-44.5333511,0.5196,abells1063,0.348,1.49,2.2,21,1.49,1.96,9.65,9.65,8.35,2.19,2.19,2.2,215.85,1.83,2.08,8.43,42.22,11.31,1.58,1.97,1.97,1.87,2.53,3.13,216.91,[KCC2017] NE-59,342.19159,-44.53335,G,0.3486,D,2017A&A...599A..28K,0.039207229321109156,SIMBAD
369,1293,342.1853391,-44.5341332,0.7001,abells1063,0.348,7.83,6.75,21,7.83,7.19,32.92,32.92,27.39,8.35,8.35,8.68,5.77,88.91,2.47,6.91,5.64,5.73,5.33,4.4,4.4,4.42,6.75,6.12,5.24,[KCG2015] 77,342.18533,-44.53412,G,0.3532,D,2017A&A...599A..28K,0.05294794778307442,SIMBAD
370,1295,342.1857781,-44.5345742,0.383,abells1063,0.348,1.1,1.36,21,1.1,3.07,1.91,1.91,1.87,1.29,1.29,1.3,0.85,1.41,1.15,2.14,2.69,3.06,1.2,1.2,1.2,1.22,1.36,1.39,2.62,[KCG2015] 3,342.185727,-44.534555,GiC,0.335,D,2015A&A...574A..11K,0.1482332914983322,SIMBAD
379,1326,342.2137498,-44.5344839,0.45,abells1063,0.348,1.12,1.11,19,,1.12,1.11,1.11,1.11,1.04,1.04,1.06,1.16,1.31,1.14,1.14,1.15,1.15,,1.02,1.02,1.01,1.06,1.13,1.12,[GVR2012] 291,342.21355000000005,-44.53441666666667,G,0.0815,C,2014ApJ...792...45R,0.5669821955631527,SIMBAD
382,1338,342.1666056,-44.5348157,0.4722,abells1063,0.348,1.4,1.94,21,1.4,1.54,4.92,4.92,4.55,1.94,1.94,1.97,5.02,2.55,1.37,9.63,6.83,8.79,1.75,1.55,1.55,1.67,1.58,1.7,35.08,[KCG2015] 11,342.16657083333337,-44.53482777777778,G,0.342,D,2015A&A...574A..11K,0.09924817510800973,SIMBAD
385,1347,342.1922073,-44.5343507,1.3044,abells1063,0.348,2.67,5.14,21,2.67,6.16,5.14,5.14,5.08,5.58,5.58,5.41,5.22,5.21,4.19,5.89,4.74,4.99,2.54,7.55,7.55,4.82,2.83,5.03,4.54,[RJL2014] AS1063 8.2,342.19254166666667,-44.53442777777777,LeG,3.06,C,2018ApJ...855....4K,0.9017983650877394,SIMBAD
394,1383,342.1698535,-44.5355434,0.4173,abells1063,0.348,1.32,1.75,21,1.32,9.26,35.85,35.85,116.91,1.67,1.67,1.73,2.24,24.58,1.21,9.6,12.34,1017.75,1.43,1.41,1.41,1.3,1.7,1.75,9.89,[KCG2015] 23,342.169807,-44.53553,GiC,0.349,D,2015A&A...574A..11K,0.12870754343088345,SIMBAD
395,1388,342.1843788,-44.5361878,0.4592,abells1063,0.348,1.42,2.06,21,1.42,3.38,9.14,9.14,10.85,2.06,2.06,2.17,1.42,1.52,1.47,3.07,206.92,1.55,1.45,1.64,1.64,1.88,4.56,5.7,51.68,[KCG2015] 31,342.184337,-44.536179,GiC,0.354,D,2015A&A...574A..11K,0.11184380845474663,SIMBAD
396,1390,342.1764599,-44.5336577,0.3934,abells1063,0.348,1.52,1.78,21,1.52,3.08,2.07,2.07,2.03,1.78,1.78,1.87,0.88,46.12,1.24,11.59,2.81,5.07,1.35,1.43,1.43,1.41,1.53,1.5,6.01,[KCG2015] 16,342.176421,-44.5336,GiC,0.3461,D,2012AJ....144...79G,0.2304621914492709,SIMBAD
401,1400,342.1839205,-44.5353157,6.3559,abells1063,0.348,3.49,16.57,21,3.49,16.46,13.96,13.96,14.06,17.97,17.97,23.9,16.93,15.74,9.52,29.48,16.57,21.8,6.7,22.24,22.24,47.54,5.67,9.06,17.94,[BHF2019] RXCJ2248   1143,342.183924,-44.535317,LeG,6.11,E,2022MNRAS.514.1148Y,0.010127681267310491,SIMBAD
404,1414,342.1816736,-44.5393678,6.5266,abells1063,0.348,6.92,37.87,21,6.92,35.47,34.38,34.38,32.01,83.82,83.82,52.95,47.91,44.82,11.43,69.08,42.56,28.89,36.61,43.04,43.04,46.73,6.46,37.87,15.07,[KCG2015] 52b,342.1816375,-44.539363888888886,LeG,4.113,C,2018ApJ...855....4K,0.09369539312154407,SIMBAD
421,1456,342.1730763,-44.5257985,1.4605,abells1063,0.348,3.15,3.15,21,3.15,3.68,3.15,3.15,3.14,3.25,3.25,3.49,3.5,3.53,4.62,4.02,3.35,3.36,2.05,2.56,2.56,3.12,1.79,2.52,2.65,CLASH RXJ2248-4431  743,342.1733274,-44.5259336,LeG,5.92,E,2018ApJ...854...73I,0.8073906167047167,SIMBAD
422,1464,342.2101046,-44.5365201,1.9621,abells1063,0.348,1.64,1.59,20,,1.64,1.58,1.58,1.58,1.18,1.18,1.29,1.84,1.84,1.68,1.78,1.83,1.77,1.78,1.14,1.14,1.12,1.25,1.67,1.6,[WEC2019] 48,342.2101333333333,-44.536502777777784,G,1.44,E,2019ApJ...877....7W,0.09656727115841769,SIMBAD
423,1466,342.1682457,-44.5365484,0.5513,abells1063,0.348,1.95,2.33,21,1.95,2.16,4.26,4.26,4.09,2.33,2.33,2.36,0.45,5.41,1.59,2.21,2.06,9.85,2.61,2.26,2.26,2.38,2.09,2.18,58.3,[KCG2015] 24,342.16825833333337,-44.53658055555555,G,0.349,D,2015A&A...574A..11K,0.12021365364900283,SIMBAD
424,1469,342.1742748,-44.5370975,1.3291,abells1063,0.348,3.41,7.69,21,3.41,10.58,7.24,7.24,7.33,9.61,9.61,7.69,9.45,8.04,3.63,9.65,11.41,8.45,13.43,6.96,6.96,6.63,3.87,11.86,2.95,[MSG2014] 8b,342.17422,-44.537109,LeG,1.837,C,2018ApJ...855....4K,0.14658812415975164,SIMBAD
427,1475,342.1929487,-44.536577,1.5707,abells1063,0.348,2.19,3.25,21,2.19,3.46,3.11,3.11,3.1,3.68,3.68,3.58,3.57,3.51,4.8,3.74,3.25,3.33,1.8,2.63,2.63,3.46,2.03,2.78,2.72,[MSG2014] 5a,342.19294,-44.53659,LeG,1.37,E,2014MNRAS.438.1417M,0.051852144142787646,SIMBAD
428,1477,342.1678071,-44.5262659,2.4786,abells1063,0.348,2.48,3.0,21,2.48,3.12,2.85,2.85,2.84,3.51,3.51,3.31,3.19,3.32,4.05,3.44,3.01,2.92,2.95,3.0,3.0,2.2,1.65,1.93,2.58,[RJL2014] AS1063 9.3,342.16782,-44.526293,LeG,2.7,E,2014MNRAS.438.1417M,0.10302485589214444,SIMBAD
430,1487,342.1788243,-44.5367164,3.9773,abells1063,0.348,2.41,5.21,21,2.41,5.38,4.63,4.63,4.64,5.21,5.21,5.71,6.5,6.81,5.97,6.62,5.36,4.32,3.51,5.32,5.32,5.92,2.09,3.31,4.57,[MSG2014] 21b,342.17883333333333,-44.536736111111104,LeG,3.6067,D,2017A&A...599A..28K,0.07465016685569181,SIMBAD
441,1511,342.171322,-44.5370827,0.5638,abells1063,0.348,2.8,2.34,21,2.8,2.59,2.29,2.29,2.3,2.18,2.18,2.24,2.37,2.34,1.77,2.7,2.47,2.54,2.79,3.0,3.0,2.29,1.89,1.82,3.19,[IKO2018] HFF5C-4111-2125,342.171304,-44.53681,G,1.64,E,2018ApJ...854...73I,0.9828059893478194,SIMBAD
446,1529,342.1909902,-44.5267716,5.2296,abells1063,0.348,0.89,2.66,21,0.89,2.66,2.6,2.6,2.66,3.17,3.17,3.43,2.5,2.74,69.27,3.34,2.42,2.74,1.38,2.66,2.66,2.58,0.92,1.7,1.48,[KIS2018] AS1063 70.2,342.190991,-44.526777,LeI,3.713,C,2018ApJ...855....4K,0.01954812789940977,SIMBAD
447,1531,342.1719227,-44.5302527,0.9112,abells1063,0.348,2.93,4.24,21,2.93,4.97,4.24,4.24,4.22,4.68,4.68,4.8,4.23,4.35,4.15,5.36,4.53,4.28,4.28,4.2,4.2,4.93,2.5,3.87,3.29,[RJL2014] AS1063 14.3,342.1719166666667,-44.53025,LeG,1.035,C,2018ApJ...855....4K,0.018281827351495576,SIMBAD
449,1536,342.1893394,-44.5369168,0.4135,abells1063,0.348,1.17,1.3,21,1.17,1.26,15.7,15.7,12.47,1.3,1.3,1.32,13.69,1.86,1.3,1.27,1.25,208.71,1.16,1.28,1.28,1.26,1.3,1.39,3.12,[KCG2015] 13,342.1894,-44.53689444444444,G,0.344,D,2015A&A...574A..11K,0.1750959286577776,SIMBAD
451,1542,342.1908929,-44.5374606,5.9211,abells1063,0.348,3.12,4.79,21,3.12,5.53,4.68,4.68,4.64,5.49,5.49,6.07,5.82,5.8,4.94,6.25,4.96,5.15,2.31,3.11,3.11,4.79,2.7,4.25,4.15,CLASH RXJ2248-4431 1291,342.190875,-44.53746111111111,LeG,6.11,C,2018ApJ...855....4K,0.04596915793613617,SIMBAD
456,1560,342.1887757,-44.537914,0.7831,abells1063,0.348,1.75,2.51,21,1.75,2.46,45.57,45.57,199.98,2.5,2.5,2.73,2.51,9.94,2.15,2.56,2.37,2.35,1.79,2.78,2.78,2.34,2.34,3.08,5.23,[KCG2015] 39,342.1887,-44.53788333333333,G,0.611,D,2015A&A...574A..11K,0.2234293801259216,SIMBAD
459,1574,342.1800334,-44.5384124,0.9479,abells1063,0.348,3.54,5.25,21,3.54,6.2,5.23,5.23,5.25,5.38,5.38,5.46,5.48,5.64,3.56,6.9,5.7,5.76,4.4,5.13,5.13,4.77,3.67,5.29,4.52,[KIS2018] AS1063 19.1,342.1800416666667,-44.53843055555556,LeG,1.035,C,2018ApJ...855....4K,0.06871603165395107,SIMBAD
462,1581,342.1611672,-44.538307,1.9538,abells1063,0.348,4.14,4.46,21,4.14,4.99,4.2,4.2,4.23,6.31,6.31,4.3,4.68,4.69,1.98,5.54,4.69,4.46,12.92,4.18,4.18,5.0,2.13,2.87,6.36,NAME CMC2020 MUSE SW 48-99-99,342.1610461,-44.5381665,LeG,2.5803,C,2018A&A...613A..72G,0.5936294231178931,SIMBAD
