IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC,SIMBAD_MAIN_ID,SIMBAD_RA,SIMBAD_DEC,SIMBAD_OTYPE,SIMBAD_ZSPEC,SIMBAD_RVZ_QUAL,SIMBAD_RVZ_BIBCODE,SIMBAD_MATCH_SEP_ARCSEC,ZSPEC_SOURCE,SIMBAD_ZSPEC_USABLE_FOR_LENSING
1426,0.0,0.0,0.0157,0.0335,,0.1008,36.6434,5.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.0025785,10,16380,,,,28.364,26.208,25.17,25.059,24.656,24.706,24.648,26.006,26.872,,,,,30.025,28.519,27.131,26.229,25.774,25.462,25.389,25.35,25.295,25.477,26.266,26.707,27.101,27.496,33.16,9.45528,5.48152,-6.93055,,,,AS1063clu,342.1740267,-44.5362312,,,,,,,,,,False
1427,0.0,0.0,0.1204,0.1152,0.0279,0.2551,223.725,1.0,0,0.0,508800000.0,99.0,0.3,223.125,33.0,0.0,3.54078e-49,,1000000000.0,714182.0,9,16316,,,,28.501,27.098,26.619,27.296,,26.407,26.339,26.539,,,23.682,,,28.109,28.085,27.542,27.253,27.16,27.228,27.257,27.289,27.305,27.385,28.171,28.552,29.062,29.581,31.812,8.76747,5.10131,-4.04352,,,,AS1063clu,342.1576821,-44.5251346,,,,,,,,,,False
1429,3.1939,2.9596,3.4753,0.5594,0.2029,3.3077,7.10061,1.0,0,0.0,806400000.0,99.0,0.07,6.31844,32.0,0.4,0.0424588,,1000000000.0,227695000.0,9,16316,,,,26.209,25.289,25.039,25.364,,24.559,24.376,24.785,24.873,23.465,23.374,22.165,,26.211,26.183,26.156,25.425,24.873,24.783,24.755,24.717,24.689,24.73,25.014,25.373,25.74,26.305,28.324,8.90892,7.82948,-1.58522,,,,AS1063clu,342.1559275,-44.5242015,,,,,,,,,,False
1430,5.2458,5.176,5.4168,5.3456,5.2094,5.5655,20.7735,26.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,1059.92,9,16376,,,,,26.22,25.457,25.111,25.0,25.029,24.9,25.405,23.798,23.914,,,,,,,27.85,25.424,25.025,25.029,25.063,25.104,24.927,23.887,23.75,23.646,23.605,24.644,8.82625,10.21724,1.00264,,,,AS1063clu,342.1830524,-44.5357409,,,,,,,,,,False
1431,0.0,0.0,0.0241,0.0394,,0.2108,259.503,1.0,0,0.0,508800000.0,99.0,-99.9,1000000000.0,,,,,1000000000.0,44407.3,10,16380,,,,28.977,28.559,28.622,27.778,27.677,27.695,27.394,27.136,,,25.126,23.661,,28.715,28.651,27.965,27.774,27.859,27.822,27.874,27.889,27.885,28.06,28.864,29.296,29.764,30.311,32.563,8.79088,4.20136,-5.10205,,,,AS1063clu,342.203166,-44.5356798,,,,,,,,,,False
1432,3.8692,3.8456,3.8965,3.8665,3.704,3.9528,116.583,33.0,1,0.1,,99.0,3.37,123.603,33.0,0.15,1.44551e-27,,1000000000.0,2018.41,10,16380,,,,25.531,24.223,23.598,23.417,33.171,23.295,33.747,23.964,21.395,22.857,23.716,,,,,26.76,24.147,23.774,23.819,23.879,23.922,23.969,23.665,23.381,23.646,23.651,23.688,24.929,8.92223,8.53597,-0.92637,,,,AS1063clu,342.2129753,-44.5253025,,,,,,,,,,False
1433,0.0,0.0,0.0113,0.0174,,0.0505,487.099,1.0,0,0.0,508800000.0,99.0,-99.9,1000000000.0,,,,,1000000000.0,33492.6,10,16380,,,,27.03,26.596,26.603,26.767,26.817,26.641,26.462,26.504,,,,,,27.501,27.437,26.726,26.562,26.646,26.615,26.669,26.68,26.671,26.877,27.685,28.125,28.584,29.137,31.395,8.72911,3.79983,-5.20501,,,,AS1063clu,342.1983777,-44.535768,[KIS2018] AS1063 44.1,342.198367,-44.53575800000001,LeI,2.976,C,2018ApJ...855....4K,0.04527600936453358,SIMBAD,False
1434,6.0551,5.1806,7.6086,6.0176,2.5901,7.242,12.1666,2.0,0,0.0,904800000.0,99.0,6.64,12.2573,23.0,0.0,0.00217953,,1000000000.0,3971700000.0,9,16376,,,,,29.859,29.482,28.723,28.602,28.173,28.214,,26.028,26.88,,,,,,,34.147,29.54,28.316,28.254,28.2,28.192,27.982,26.662,26.508,26.467,26.352,27.165,8.88008,9.03432,-0.24559,,,,AS1063clu,342.1870042,-44.5250954,,,,,,,,,,False
1435,2.6867,2.5993,2.7848,2.7114,2.6325,2.8068,55.5582,33.0,1,0.4,,99.0,3.11,62.9693,21.0,0.0,2.12032e-14,,1000000000.0,2283.29,10,16380,,,,26.891,25.864,25.536,25.49,41.907,25.479,,24.592,23.324,23.401,23.389,22.856,,,29.718,26.997,26.017,25.605,25.317,25.075,24.776,24.519,24.094,23.475,23.311,23.166,23.357,23.358,8.99992,10.09341,0.38949,,,,AS1063clu,342.2145354,-44.535727,,,,,,,,,,False
1437,0.0,0.0,0.004,,,0.031,1000000000.0,1.0,0,0.0,508800000.0,99.0,-99.9,1000000000.0,,,,,1000000000.0,8.0347e-10,9,16376,,,,,26.839,25.998,25.686,25.567,25.459,25.436,25.849,,,24.099,,,26.869,26.808,26.077,25.941,26.016,25.995,26.046,26.054,26.04,26.281,27.092,27.542,27.988,28.547,30.814,8.70643,,,,,,AS1063clu,342.197334,-44.5358432,,,,,,,,,,False
