main_id,ra,dec,otype,rvz_redshift,rvz_qual,rvz_bibcode
[LBL2018] AS1063 cluster  2,342.1714468,-44.5468577,LeG,5.068,E,2018ApJ...862..156L
[BHF2019] RXCJ2248    781,342.17252916666666,-44.54128055555555,LeI,1.27,D,2013A&A...559L...9B
[BHF2019] RXCJ2248    931,342.18844,-44.539998,LeG,1.428,C,2018ApJ...855....4K
[BHF2019] RXCJ2248   1818,342.1634,-44.5297,G,1.597,E,2021MNRAS.501.1028Y
[BHF2019] RXCJ2248   2012,342.1877,-44.5275,LeG,1.38,E,2014MNRAS.438.1417M
[BHF2019] RXCJ2248   2341,342.1789,-44.5236,LeG,1.45,E,2014MNRAS.438.1417M
[BHF2019] RXCJ2248   2752,342.1636,-44.5155,G,1.19,E,2021MNRAS.501.1028Y
[BHF2019] RXCJ2248   2755,342.18355416666657,-44.51648333333334,G,1.241,E,2019ApJ...877....7W
[BHF2019] RXCJ2248   2817,342.1856,-44.5161,G,1.15,E,2021MNRAS.501.1028Y
[BHF2019] RXCJ2248   2888,342.15869999999995,-44.51579999999999,G,2.89,E,2021MNRAS.501.1028Y
[BHF2019] RXCJ2248   2910,342.16349999999994,-44.5147,G,1.481,E,2021MNRAS.501.1028Y
[BHF2019] RXCJ2248   3104,342.1669,-44.5112,G,1.43,E,2021MNRAS.501.1028Y
[KCC2017] NE-53,342.189127,-44.529524,GiC,0.3479,D,2017A&A...599A..28K
[GVR2012] 1842,342.1141958333333,-44.52150277777777,G,0.348,D,2019ApJ...877....7W
[TSB2015] GLASS RXJ2248-01336,342.18117882,-44.53789988,G,0.4675,D,2016ApJ...833..178V
[KCC2017] NE-32,342.19293,-44.52207,G,0.3431,D,2017A&A...599A..28K
[KCC2017] NE-49,342.1911,-44.53295,G,0.347,D,2017A&A...599A..28K
[KCC2017] NE-54,342.18293,-44.53046,G,0.348,D,2017A&A...599A..28K
[GVR2012] 165,342.2312458333334,-44.541374999999995,G,0.4381,D,2012AJ....144...79G
[GVR2012] 1163,342.1050708333333,-44.53422499999999,G,0.1122,D,2012AJ....144...79G
[KCC2017] NE-4,342.1891,-44.52116,G,0.2637,D,2017A&A...599A..28K
[KCG2015] 30,342.17872083333333,-44.54657222222222,G,0.353,D,2015A&A...574A..11K
[KCC2017] NE-86,342.20357,-44.52496,G,0.7048,D,2017A&A...599A..28K
