IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC,x_arcsec,y_arcsec,r_arcsec,member_selection,bcg_score,is_bcg_candidate
131,0.23072,0.1963,0.368,0.2146,0.0329,0.3555,75.5239,33.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.152171,10,16380,,,,27.903,27.21,27.13,27.284,27.241,27.434,27.445,,,26.836,,,,27.191,27.381,27.412,27.341,27.282,27.637,27.663,27.7,27.733,27.874,28.654,28.74,29.157,28.216,27.762,8.75877,4.6464,-4.45922,,,,AS1063clu,342.1849499,-44.5110474,-1.434604000395868,68.58971999998573,68.60472125382039,pagul21_photoz_f160w_radius,5.179446791794012,False
2017,0.23012,0.2051,0.3218,0.2332,0.0328,0.3222,661.689,33.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.102825,9,16376,,,,,28.804,27.978,28.002,27.473,27.513,27.461,26.794,,24.375,24.029,22.599,,27.81,27.999,28.05,27.965,27.921,28.266,28.287,28.324,28.358,28.482,29.304,29.263,29.786,28.956,28.319,8.75348,4.18549,-4.90698,,,,AS1063clu,342.177343,-44.5312391,-20.956767095922167,-4.100400000007198,21.35414168897418,pagul21_photoz_f160w_radius,3.679163972965805,False
625,0.0,0.0,0.0607,0.4585,0.0542,1.3574,14.6632,1.0,0,0.0,1139000000.0,99.0,5.35,13.6994,33.0,0.0,0.00105978,,1000000000.0,13692800.0,10,16380,,,,30.066,28.766,28.032,27.759,27.634,27.42,27.474,,28.502,28.572,24.349,,,29.904,29.858,29.509,28.39,27.842,27.68,27.608,27.572,27.558,27.54,27.956,28.303,28.611,29.219,31.242,9.17072,6.78027,-3.76112,,,,AS1063clu,342.1947232,-44.5212562,23.647355349932184,31.83803999998247,39.65927641909835,pagul21_photoz_f160w_radius,3.9046681306366104,False
2691,0.074473,0.0,0.6171,0.4562,0.149,1.3264,1.63684,23.0,0,0.0,,99.0,1.15,2.94909,33.0,0.25,0.228883,,1000000000.0,0.189869,10,16380,,,,30.088,28.536,28.22,28.044,28.088,27.815,27.487,27.238,,,25.062,25.512,,29.814,29.828,29.669,28.759,28.135,27.842,27.707,27.606,27.536,27.42,27.864,28.13,28.488,28.475,27.483,9.19426,6.95828,-3.85147,,,,AS1063clu,342.1636047,-44.5452457,-56.21440598374846,-54.52416000001392,78.31311169793226,pagul21_photoz_f160w_radius,5.17097780659774,False
843,0.22897,0.2097,0.2783,0.2325,0.0189,0.2949,816.715,33.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.114137,10,16380,,,,28.788,28.486,28.218,28.225,27.707,27.637,27.523,27.881,,25.514,23.765,,,27.697,27.885,27.937,27.851,27.808,28.153,28.174,28.21,28.245,28.369,29.19,29.149,29.673,28.842,28.205,8.731,3.70167,-5.60584,,,,AS1063clu,342.2029289,-44.5252633,44.70626419764328,17.41247999999871,47.97754181134999,pagul21_photoz_f160w_radius,4.660883643711665,False
2624,0.071195,0.0,0.4272,0.4105,0.1232,0.8374,24.8478,1.0,0,0.0,1278000000.0,99.0,0.6,25.2258,26.0,0.1,3.32885e-06,,1000000000.0,10762800.0,10,16380,,,,30.37,28.311,27.893,28.253,27.971,28.018,27.526,26.971,26.358,,26.471,24.325,,30.337,30.281,29.709,28.44,27.882,27.676,27.585,27.544,27.525,27.441,27.869,28.238,28.537,29.13,31.151,9.22762,6.87275,-4.0453,,,,AS1063clu,342.2017952,-44.5418673,41.79676409879394,-42.361920000004716,59.51051802174999,pagul21_photoz_f160w_radius,4.570704184058332,False
164,0.30032,0.0,0.5075,0.3407,0.0845,2.1909,13.3579,32.0,3,0.05,,99.0,3.02,14.9116,33.0,0.05,0.000578065,,1000000000.0,0.425433,10,16380,,,,27.964,27.415,27.618,27.838,27.565,27.607,27.53,27.451,,26.709,,22.822,,27.735,27.812,27.901,27.477,27.43,27.567,27.538,27.541,27.563,27.583,28.334,28.168,28.852,28.366,27.17,8.80954,5.78426,-3.49013,,,,AS1063clu,342.1794129,-44.5113317,-15.64462609352471,67.56623999999647,69.35381109458453,pagul21_photoz_f160w_radius,5.063487453152817,False
80,1.4065,1.1389,1.5613,0.3507,0.0319,1.6483,103.05,33.0,0,0.0,,99.0,0.0,99.5152,33.0,0.1,2.45778e-22,,1000000000.0,0.288606,10,16380,,,,28.534,28.045,28.086,28.099,27.652,27.632,27.537,,23.733,23.76,21.992,20.887,,27.577,27.746,27.975,27.743,27.806,28.082,28.097,28.118,28.155,28.227,29.028,28.874,29.557,29.094,27.876,8.7965,5.0832,-4.18241,,,,AS1063clu,342.1760684,-44.5106737,-24.22786952679042,69.93504000000144,74.01283322241476,pagul21_photoz_f160w_radius,5.326397190747159,False
2503,0.0,0.0,0.3635,0.3276,0.0844,1.0124,5.07356,27.0,0,0.0,,99.0,1.18,6.64681,33.0,0.1,0.03603,,1000000000.0,0.167915,10,16380,,,,29.978,27.971,28.504,27.642,28.112,27.673,27.559,27.812,,,23.463,23.061,,28.836,28.92,28.804,28.018,27.809,27.749,27.706,27.717,27.749,27.735,28.418,28.61,29.12,28.808,27.679,9.09222,6.44483,-4.046,,,,AS1063clu,342.1948272,-44.5332053,23.914258419824165,-11.178720000000908,26.39802145253601,pagul21_photoz_f160w_radius,3.5426922984178666,False
1641,0.0,0.0,0.3799,0.2423,0.0777,0.4594,23.364,6.0,0,0.0,,99.0,5.15,28.969,33.0,0.0,5.1222e-07,,1000000000.0,0.0218631,10,16380,,,,30.352,29.151,28.049,27.936,27.724,27.554,27.559,27.105,,28.189,23.754,25.536,,33.466,32.23,30.502,28.935,28.224,27.835,27.63,27.569,27.531,27.385,28.186,28.469,28.968,29.416,30.664,9.44697,6.46078,-5.88635,,,,AS1063clu,342.174151,-44.539088,-29.148638239396316,-32.35644000000377,43.54976831953347,pagul21_photoz_f160w_radius,4.1120246939844485,False
