IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC
1057,0.0,0.0,0.0246,0.0341,,0.0774,150.513,25.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.0161999,10,4092,,,,25.732,24.845,24.676,24.691,24.546,24.406,24.205,23.799,,23.91,,,,26.299,26.085,25.227,24.818,24.67,24.536,24.52,24.497,24.463,24.623,25.416,25.816,25.643,24.456,29.747,9.02255,6.32145,-3.511,,,,AS1063clu,342.3483347,-44.5382461
1058,2.0229,1.8841,2.967,2.2929,1.5049,2.7211,4.94434,31.0,1,0.2,,99.0,2.36,4.74202,31.0,0.2,0.0933863,,1000000000.0,218.821,10,4092,,,,27.085,26.397,26.299,26.079,25.761,25.507,25.313,25.084,25.369,24.429,,,,32.334,27.646,26.74,26.476,26.349,26.236,25.792,25.557,25.382,25.017,24.991,24.957,24.933,25.323,25.044,8.87435,9.17107,-0.16433,,,,AS1063clu,342.3484732,-44.5385505
1059,0.29964,0.0,0.6019,0.3348,0.0726,2.1686,29.3992,33.0,0,0.0,,99.0,0.0,29.6015,31.0,0.0,3.73347e-07,,1000000000.0,0.118728,10,4092,,,,28.877,28.551,28.572,28.876,28.746,29.101,28.988,28.913,,,,,,28.417,28.591,28.821,28.566,28.629,28.916,28.93,28.954,28.991,29.066,29.88,29.72,30.403,29.893,28.723,8.78885,5.06123,-4.19718,,,,AS1063clu,342.3313279,-44.5292944
1060,1.7226,0.0,2.6023,1.7842,0.6674,4.3915,0.749667,32.0,3,0.3,,99.0,1.11,0.749086,25.0,0.0,0.687603,,1000000000.0,4.3475,10,4092,,,,30.76,31.326,30.39,30.129,29.76,29.516,29.651,28.536,28.484,30.776,,,,33.018,31.748,31.215,31.134,30.698,30.1,29.671,29.605,29.628,29.309,28.963,28.866,29.046,29.317,28.519,8.99815,7.16997,-2.45981,,,,AS1063clu,342.3184627,-44.5381646
1061,0.0,0.0,0.1153,0.2357,0.0468,1.2305,62.7359,33.0,1,0.05,,99.0,0.46,63.1414,33.0,0.0,1.94543e-14,,1000000000.0,0.0749021,10,4092,,,,28.846,28.787,29.132,29.134,28.762,28.929,28.645,,,,,,,28.668,28.805,28.883,28.695,28.705,28.825,28.819,28.841,28.863,28.948,29.74,29.669,30.225,29.445,28.708,8.82149,4.98672,-4.38926,,,,AS1063clu,342.3282002,-44.5297542
1062,1.0609,0.8623,1.2311,1.0109,0.7405,1.3988,0.853422,2.0,0,0.0,806400000.0,99.0,1.58,2.86694,33.0,0.3,0.23848,,1000000000.0,128289000.0,10,4092,,,,28.186,28.323,27.326,26.841,26.773,26.787,26.819,26.521,26.433,26.358,,,,28.349,28.341,28.262,28.17,27.321,26.906,26.795,26.773,26.793,26.655,26.562,26.824,27.238,27.665,29.605,8.92383,7.923,-1.52715,,,,AS1063clu,342.3043059,-44.5382875
1063,0.0,0.0,0.8199,0.4076,0.0883,1.8982,15.2283,31.0,0,0.0,,99.0,1.44,15.0688,33.0,0.0,0.000534373,,1000000000.0,0.172872,9,4088,,,,,28.79,28.684,28.697,28.4,29.181,28.607,,,,,,,28.727,28.857,28.994,28.684,28.656,28.68,28.726,28.734,28.766,28.833,29.508,29.609,30.075,29.928,28.743,8.89159,5.86919,-3.78428,,,,AS1063clu,342.3414806,-44.5297934
1064,0.0,0.0,0.0279,0.0441,0.0106,0.1665,50.3621,1.0,0,0.0,508800000.0,99.0,0.53,56.2561,33.0,0.0,6.08347e-13,,1000000000.0,144216.0,10,4092,,,,26.633,26.643,26.626,26.772,26.543,26.526,26.537,26.528,,,,,,27.436,27.372,26.703,26.562,26.581,26.543,26.595,26.61,26.607,26.781,27.586,28.017,28.485,29.032,31.284,8.74474,4.62767,-4.45331,,,,AS1063clu,342.3333137,-44.5383491
1066,0.0,0.0,0.0277,0.0393,,0.1076,34.5501,5.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.00147529,10,4092,,,,27.85,27.785,26.795,26.69,26.591,26.563,26.541,26.531,,,,,,31.346,29.802,28.42,27.482,27.023,26.705,26.628,26.592,26.539,26.703,27.489,27.92,28.327,28.722,33.454,9.47989,5.1399,-7.47224,,,,AS1063clu,342.3269433,-44.5382537
1067,0.0,0.0,0.0292,0.0515,0.0121,0.1576,65.3556,3.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.00308637,10,4092,,,,27.874,27.413,26.703,26.624,26.592,26.614,26.561,26.456,,28.158,,,,30.933,29.508,28.146,27.293,26.92,26.659,26.59,26.567,26.531,26.703,27.466,27.844,28.215,28.559,32.181,9.3125,5.09485,-6.34902,,,,AS1063clu,342.3265674,-44.5383255
1068,0.24075,0.1722,0.4272,0.2243,0.0525,0.4187,200.077,32.0,0,0.0,,99.0,3.07,205.183,33.0,0.0,2.78609e-45,,1000000000.0,0.110947,10,4092,,,,28.067,27.71,27.707,27.859,27.831,27.919,27.986,27.36,,25.134,,,,27.783,27.938,27.924,27.719,27.691,27.912,27.925,27.96,27.992,28.099,28.894,28.9,29.379,28.494,27.966,8.76806,4.98002,-4.16358,,,,AS1063clu,342.3167193,-44.5382974
1069,0.0,0.0,0.1324,0.1744,0.0429,0.4251,40.56,26.0,0,0.0,,99.0,0.46,41.8784,28.0,0.0,8.058e-10,,1000000000.0,0.0375881,10,4092,,,,28.372,28.125,27.677,28.005,27.705,27.541,27.55,26.5,,,,,,29.089,29.059,28.55,27.944,27.723,27.658,27.62,27.621,27.612,27.583,28.335,28.715,29.061,27.872,28.534,8.95058,5.62371,-3.99091,,,,AS1063clu,342.3287084,-44.5383738
1070,0.0,0.0,0.0228,0.0275,,0.0695,27.8342,26.0,0,0.2,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.00526855,10,4092,,,,26.92,26.787,26.805,26.576,26.188,25.915,25.831,26.052,,25.161,,,,28.685,28.243,27.23,26.701,26.437,26.192,26.093,26.035,25.978,26.093,26.847,27.242,27.069,25.882,31.174,9.19935,4.80191,-5.93879,,,,AS1063clu,342.3084004,-44.5384605
