IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC,x_arcsec,y_arcsec,r_arcsec,member_selection,bcg_score,is_bcg_candidate
3332,0.0,0.0,0.0969,0.3914,0.0455,2.9531,8.4485,1.0,0,0.0,640500000.0,99.0,2.86,2.94467,33.0,0.05,0.22939,,1000000000.0,17344200.0,12,16383,,28.757,29.264,26.907,26.499,26.759,26.742,26.827,26.544,26.514,26.746,,27.697,25.246,23.76,,27.635,27.709,27.6,26.8,26.584,26.53,26.541,26.534,26.557,26.567,27.117,27.463,27.845,28.441,30.537,8.89138,5.72032,-3.71955,,,,A2744clu,3.6012543,-30.4119272,42.04952234171117,-44.356680000012716,61.120188070633375,pagul21_photoz_f160w_radius,4.599966852354445,False
1356,0.33009,0.0475,0.6837,0.557,0.2098,2.9232,2.67797,2.0,0,0.0,640500000.0,99.0,3.36,2.42936,33.0,0.1,0.296806,,1000000000.0,39367900.0,12,16383,,28.659,27.775,27.872,26.821,26.556,26.793,26.956,26.66,26.533,26.307,26.482,26.81,,,,27.715,27.672,27.705,27.127,26.645,26.558,26.59,26.535,26.479,26.473,26.751,27.107,27.458,28.025,30.037,8.84868,7.27528,-2.02994,,,,A2744clu,3.5908609,-30.3882753,9.777373658417272,40.790159999990294,41.94560988328958,pagul21_photoz_f160w_radius,3.7342202461096523,False
2572,0.0,0.0,0.1527,0.2846,0.0365,1.5597,345.194,33.0,0,0.0,,99.0,1.3,343.318,33.0,0.0,2.81535e-75,,1000000000.0,0.147906,10,16380,,,,29.021,29.258,28.254,27.304,26.666,26.612,26.553,,23.305,,,,,27.831,28.014,28.127,27.976,27.994,28.311,28.325,28.358,28.394,28.486,29.315,29.175,29.821,29.188,28.19,8.80999,5.20735,-4.11401,,,,A2744clu,3.5875903,-30.3990861,-0.37804126678358485,1.8712799999846652,1.9090846072748966,pagul21_photoz_f160w_radius,2.71685890357583,False
1383,0.0,0.0,0.0867,0.2813,0.044,0.6646,10.6191,27.0,1,0.1,,99.0,0.56,8.88478,1.0,0.0,0.0117678,,1000000000.0,0.381689,10,16380,,,,28.302,27.449,26.923,26.683,26.442,26.466,26.557,,27.169,27.807,,,,28.447,28.415,28.109,27.184,26.879,26.725,26.637,26.632,26.639,26.55,27.226,27.403,27.895,27.472,26.48,9.06232,6.83091,-2.99114,,,,A2744clu,3.5731971,-30.3995693,-45.06981589572097,0.13175999999219812,45.07000849314077,pagul21_photoz_f160w_radius,3.9134223664380245,False
1726,0.094108,0.0,0.1765,0.4142,0.0962,0.749,6.57392,22.0,0,0.0,,99.0,0.62,5.67017,24.0,0.05,0.0587135,,1000000000.0,0.297749,10,16380,,,,28.76,27.976,27.234,26.928,26.645,26.674,26.564,26.799,26.124,,24.96,,,29.245,29.279,28.961,27.899,27.247,26.929,26.74,26.634,26.568,26.422,26.96,27.208,27.572,27.392,26.494,9.25026,7.31754,-3.61401,,,,A2744clu,3.580357,-30.4047398,-22.837884347092185,-18.482040000014877,29.379495639192108,pagul21_photoz_f160w_radius,3.319860771306403,False
583,0.27312,0.0817,0.3751,0.2584,0.0831,0.4473,29.0913,9.0,0,0.0,,99.0,5.48,30.5249,33.0,0.0,2.35293e-07,,1000000000.0,0.0424507,10,16378,,,,,30.707,26.654,26.452,26.566,26.511,26.629,26.384,,,24.951,,,33.426,32.17,30.122,28.359,27.488,27.009,26.75,26.671,26.624,26.424,27.252,27.498,28.004,28.521,30.383,9.52631,7.23255,-5.97485,,,,A2744clu,3.5957029,-30.3867899,24.812082601064645,46.13759999999019,52.38623461140483,pagul21_photoz_f160w_radius,4.122250570380161,False
674,0.0,0.0,0.0644,0.2361,0.0396,1.0773,10.3855,33.0,3,0.15,,99.0,1.2,8.5781,33.0,0.1,0.0137179,,1000000000.0,0.481109,12,16383,,28.281,27.392,27.281,27.61,27.267,26.876,26.854,26.795,26.677,27.874,,,,,,27.662,27.541,27.477,27.148,27.016,27.044,26.987,26.982,26.979,27.0,27.725,27.65,28.205,27.426,26.689,8.81914,5.81307,-3.50549,,,,A2744clu,3.5947355,-30.3876272,21.808245874274828,43.12331999998804,48.3241173321789,pagul21_photoz_f160w_radius,4.21656866107263,False
1441,0.0,0.0,0.0822,0.1968,0.0325,1.2085,24.9679,32.0,3,0.05,,99.0,1.2,23.4724,33.0,0.05,7.99899e-06,,1000000000.0,0.171335,11,16382,,,28.11,27.762,27.877,27.783,27.095,27.255,26.809,26.688,,,,,22.465,,27.578,27.627,27.565,27.303,27.276,27.34,27.334,27.356,27.374,27.468,28.148,28.35,28.693,27.697,27.355,8.84157,5.53088,-3.91919,,,,A2744clu,3.5909313,-30.3892895,9.995970004877293,37.13903999998962,38.46072943223042,pagul21_photoz_f160w_radius,3.9339675644076797,False
3176,0.2121,0.1722,0.3041,0.1551,0.0287,0.3987,117.643,33.0,0,0.0,,99.0,0.53,118.299,33.0,0.0,2.04938e-26,,1000000000.0,0.0810172,12,16383,,29.785,27.052,27.537,27.434,26.894,26.918,26.16,26.299,26.704,28.371,,,28.964,,,27.302,27.494,27.449,27.438,27.351,27.717,27.753,27.789,27.818,28.011,28.47,29.051,29.221,28.049,28.124,8.76725,4.89117,-4.28829,,,,A2744clu,3.606168,-30.4103223,57.306864211080196,-38.579040000011844,69.08269691485486,pagul21_photoz_f160w_radius,5.056256313828495,False
2006,0.20413,0.0,0.6134,0.1968,0.0439,0.7018,323.404,33.0,0,0.0,,99.0,0.53,324.169,33.0,0.0,4.05127e-71,,1000000000.0,0.0327024,12,16383,,30.076,28.77,29.618,28.836,27.476,26.841,28.18,28.084,26.721,26.925,,,,23.684,,28.757,28.948,28.963,28.905,28.842,29.197,29.226,29.263,29.295,29.445,30.171,30.373,30.717,29.721,29.378,8.79472,4.93621,-4.33662,,,,A2744clu,3.6065192,-30.3938738,58.39736189399277,20.635559999985276,61.93608167046856,pagul21_photoz_f160w_radius,4.817229805682285,False
