IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC
919,0.98729,0.9228,1.0154,0.9609,0.8984,1.0098,7.82467,21.0,0,0.15,,99.0,-99.9,1000000000.0,,,,,1000000000.0,578.431,10,4092,,,,24.147,23.31,22.19,21.522,21.153,20.994,20.861,20.298,20.108,20.479,,,,25.138,24.526,24.154,23.409,22.193,21.452,21.157,21.015,20.884,20.317,19.997,20.312,20.615,20.841,19.563,9.15024,10.49877,0.19142,,,,A2744clu,3.4835842,-30.3791389
920,0.027054,0.0,0.4538,1.8669,0.227,3.5519,15.1109,33.0,0,0.0,,99.0,2.95,14.7058,33.0,0.0,0.000640729,,1000000000.0,0.428972,9,4088,,,,,30.453,31.395,31.137,30.786,31.719,31.221,,,,,,,31.421,30.57,30.573,30.767,31.031,31.096,30.983,31.027,31.097,31.26,31.365,31.414,31.682,32.202,31.288,8.83241,5.93358,-3.63879,,,,A2744clu,3.4697896,-30.3709903
921,0.0,0.0,0.0789,0.0573,0.0153,0.2022,27.8094,1.0,0,0.0,508800000.0,99.0,-99.9,1000000000.0,,,,,1000000000.0,470780.0,10,4092,,,,26.432,26.097,26.205,26.347,26.304,26.177,26.107,25.765,,,,,,27.044,26.982,26.33,26.105,26.175,26.148,26.195,26.216,26.217,26.363,27.166,27.587,28.064,28.603,30.85,8.75882,5.1321,-3.96289,,,,A2744clu,3.4689321,-30.3786704
922,0.080499,0.0,0.2834,0.2593,0.053,1.6765,111.916,33.0,0,0.0,,99.0,0.54,112.702,33.0,0.0,3.36599e-25,,1000000000.0,0.0590653,10,4092,,,,28.684,28.83,28.528,29.139,28.543,29.16,29.447,,,,,,,28.671,28.857,28.95,28.819,28.813,29.142,29.158,29.194,29.228,29.332,30.16,30.049,30.658,29.963,29.061,8.76799,4.54234,-4.67644,,,,A2744clu,3.4567927,-30.3710092
923,0.40033,0.336,0.4593,0.395,0.3286,0.4501,5.39659,2.0,0,0.0,3500000000.0,99.0,-99.9,1000000000.0,,,,,1000000000.0,4046220000.0,10,4092,,,,25.645,23.94,22.899,22.463,22.204,22.079,21.979,21.644,22.187,22.627,,,,29.867,28.424,25.821,23.933,22.929,22.467,22.188,22.045,21.955,21.757,22.351,22.583,22.942,23.52,25.625,9.54267,9.34176,-3.99164,,,,A2744clu,3.4710449,-30.378973
924,0.0,0.0,0.1973,0.7656,0.1546,2.5841,5.64594,30.0,3,0.05,,99.0,2.86,4.95919,33.0,0.15,0.0837772,,1000000000.0,0.992733,10,4092,,,,29.337,28.592,28.5,28.396,28.263,28.454,28.115,,27.267,,,,,28.844,28.891,28.968,28.811,28.254,28.152,28.116,28.193,28.159,28.188,28.369,28.787,28.914,29.441,28.207,8.83767,6.81747,-2.45563,,,,A2744clu,3.4758699,-30.3786497
925,0.0,0.0,1.5762,0.7788,0.147,2.4201,4.79431,31.0,0,0.0,,99.0,0.6,4.69926,31.0,0.0,0.0954047,,1000000000.0,0.52251,10,4092,,,,29.29,29.235,28.643,29.02,28.658,28.44,28.894,,,,,,,28.849,28.952,29.098,29.144,28.799,28.775,28.79,28.968,28.962,29.038,29.298,29.741,29.858,30.382,29.154,8.83609,6.38221,-3.02025,,,,A2744clu,3.4935407,-30.3710122
926,0.34548,0.3369,0.3565,0.3445,0.3247,0.3592,37.3737,13.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,117.04,10,4092,,,,22.483,20.647,19.741,19.249,18.93,18.786,18.664,18.158,19.038,19.294,,,,23.784,23.608,22.371,20.669,19.732,19.257,18.927,18.783,18.702,18.455,19.21,19.379,19.767,19.657,18.982,9.6278,10.61795,-3.97414,,,,A2744clu,3.4888031,-30.3793958
927,1.6761,1.1104,1.9348,1.6491,1.1705,1.9592,1.8874,33.0,3,0.2,,99.0,1.35,2.68612,33.0,0.15,0.261046,,1000000000.0,81.0253,10,4092,,,,26.563,26.703,26.441,26.139,26.123,25.999,26.053,26.084,25.528,25.605,,,,27.554,26.882,26.666,26.714,26.549,26.205,26.007,25.988,25.999,25.854,25.685,25.68,25.968,26.184,25.727,8.71,8.43548,-0.53522,,,,A2744clu,3.4921455,-30.3787479
928,0.0,0.0,0.2826,0.4932,0.0992,1.4713,3.53637,30.0,0,0.0,,99.0,0.72,3.07369,30.0,0.0,0.215058,,1000000000.0,0.475047,10,4092,,,,28.24,28.329,27.615,27.463,27.426,27.509,27.749,28.619,,30.41,,,,28.19,28.287,28.392,28.012,27.792,27.756,27.844,27.835,27.847,27.938,28.463,28.668,29.043,29.163,27.921,8.83716,6.37147,-3.01839,,,,A2744clu,3.4921155,-30.3711169
