main_id,ra,dec,otype,rvz_redshift,rvz_qual,rvz_bibcode
[MAC2016] A2744cl   2190,3.587886,-30.383469,G,1.773,E,2016A&A...590A..30M
[MAC2016] A2744cl   2313,3.588811,-30.381363,G,3.6677,E,2016A&A...590A..30M
[MAC2016] A2744cl    482,3.590281,-30.408587,G,0.204,E,2016A&A...590A..30M
[MAC2016] A2744cl    452,3.590475,-30.409132,G,2.7245,E,2016A&A...590A..30M
[MAC2016] A2744cl    469,3.590769,-30.408859,G,1.2725,E,2016A&A...590A..30M
[MAC2016] A2744cl  20462,3.584073,-30.410917,G,0.01,E,2016A&A...590A..30M
[MAC2016] A2744cl  20694,3.584431,-30.408192,G,0.61,E,2016A&A...590A..30M
[KIS2018] A2744 41.3,3.583435,-30.40851,EmG,4.911,C,2018ApJ...855....4K
[MAC2016] A2744cl    125,3.571393,-30.414343,G,0.0505,E,2016A&A...590A..30M
[MAC2016] A2744cl  20133,3.572838,-30.414528,G,6.477,E,2016A&A...590A..30M
[MAC2016] A2744cl     83,3.573655,-30.415171,G,1.0985,E,2016A&A...590A..30M
[MAC2016] A2744cl    184,3.570947,-30.413429,G,0.01,E,2016A&A...590A..30M
[MAC2016] A2744cl    279,3.572823,-30.411768,G,2.895,E,2016A&A...590A..30M
[MAC2016] A2744cl    365,3.571882,-30.410896,G,2.86,E,2016A&A...590A..30M
[MAC2016] A2744cl    393,3.571952,-30.410538,G,2.4765,E,2016A&A...590A..30M
[LBL2018] A2744 cluster  8,3.571271,-30.408714,G,5.103,E,2016A&A...590A..30M
[LBL2018] A2744 cluster 15,3.5734849,-30.4128104,G?,5.188,E,2018ApJ...862..156L
[BAE96] AC 118  20,3.58882,-30.410721,GiC,0.31,D,2017ApJ...835..254M
[MAC2016] A2744cl   2059,3.574713,-30.38575,G,0.32,D,2017ApJ...835..254M
[MAT2017] Abell2744CLS 2257,3.5743736,-30.386071,G,0.34,D,2017ApJ...835..254M
[MAC2016] A2744cl   2582,3.575785,-30.385696,G,2.902,E,2016A&A...590A..30M
[MAC2016] A2744cl  22716,3.577138,-30.386099,G,3.8565,E,2016A&A...590A..30M
[MAC2016] A2744cl  22815,3.576789,-30.384684,G,5.1607,E,2016A&A...590A..30M
[MAC2016] A2744cl  23525,3.57613,-30.384382,G,5.015,E,2016A&A...590A..30M
[MAC2016] A2744cl   2077,3.577492,-30.385273,G,0.6941,E,2016A&A...590A..30M
[MAC2016] A2744cl   1933,3.576952,-30.387585,G,3.0691,E,2016A&A...590A..30M
[BAG2023] 41531,3.5898250000000003,-30.385639,G,0.31,D,2017ApJ...835..254M
[MAC2016] A2744cl   2065,3.589495,-30.385349,G,1.135,E,2016A&A...590A..30M
[MAC2016] A2744cl  22749,3.583492,-30.385767,G,5.3267,E,2016A&A...590A..30M
[MAC2016] A2744cl   2157,3.583591,-30.38378,G,0.49,D,2017ApJ...835..254M
[MAC2016] A2744cl   2105,3.582155,-30.384901,G,0.38,D,2017ApJ...835..254M
[MAC2016] A2744cl   2046,3.582109,-30.385817,G,1.5165,E,2016A&A...590A..30M
[MAC2016] A2744cl  22705,3.584277,-30.386171,G,2.19,E,2016A&A...590A..30M
[BAG2023] 4938000,3.5828545,-30.4088379,G,0.33,D,2017ApJ...835..254M
[MRC2018] A2744 M11,3.5819784999999995,-30.408336199999997,EmG,3.02456,D,2021A&A...646A..83R
[MAC2016] A2744cl    373,3.581907,-30.410767,G,0.51,D,2017ApJ...835..254M
[MAC2016] A2744cl    339,3.58298,-30.411221,G,0.46,D,2017ApJ...835..254M
[MAC2016] A2744cl    443,3.5825519999999997,-30.409298,G,0.3725,E,2016A&A...590A..30M
[MAC2016] A2744cl    351,3.581356,-30.41107,G,1.3359,D,2018MNRAS.473..663M
[MAC2016] A2744cl   2146,3.597542,-30.38426,G,1.75,E,2016A&A...590A..30M
[MAC2016] A2744cl  22876,3.59111,-30.38389,G,3.415,E,2016A&A...590A..30M
[MAC2016] A2744cl   2016,3.591419,-30.38612,G,3.154,E,2016A&A...590A..30M
[MAC2016] A2744cl   2087,3.591137,-30.385542,G,1.3397,D,2018MNRAS.473..663M
[MAC2016] A2744cl   2101,3.5918710000000003,-30.384668,G,3.1478,E,2016A&A...590A..30M
[MAC2016] A2744cl  22702,3.582117,-30.386217,G,4.309,E,2016A&A...590A..30M
[MAC2016] A2744cl   2069,3.581478,-30.385237,G,2.0,E,2016A&A...590A..30M
[LBL2018] A2744 cluster  5,3.581417,-30.384024,G,4.606,E,2016A&A...590A..30M
[MAC2016] A2744cl   2211,3.5831619999999997,-30.383129,G,1.3615,E,2016A&A...590A..30M
[MAC2016] A2744cl   2510,3.589045,-30.378454,G,3.8535,E,2016A&A...590A..30M
[MAC2016] A2744cl   2521,3.58871,-30.377411,G,0.389,E,2016A&A...590A..30M
[BML2002] 1092,3.6041,-30.36893888888889,G,0.3,E,2017A&A...606A.122F
[BGS2006]  87,3.606583333333333,-30.366805555555548,GiC,0.302332488964749,C,2011ApJ...728...27O
[BML2002] 1116,3.6017916666666667,-30.37483611111111,G,0.3,E,2017A&A...606A.122F
[MAC2016] A2744cl   2096,3.59313,-30.385115,G,0.32,D,2017ApJ...835..254M
[MAC2016] A2744cl   2055,3.592285,-30.38595,G,2.555,E,2016A&A...590A..30M
[MAC2016] A2744cl  22953,3.578449,-30.382885,G,1.38,E,2016A&A...590A..30M
