IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC,x_arcsec,y_arcsec,r_arcsec,member_selection,bcg_score,is_bcg_candidate
2413,0.49067,0.4683,0.5133,0.4826,0.448,0.5093,5.61241,18.0,0,0.4,,99.0,-99.9,1000000000.0,,,,,1000000000.0,310.912,12,16383,,26.09,26.434,24.445,22.375,21.114,22.662,20.248,20.231,20.019,19.14,19.482,19.813,20.891,21.085,,26.529,25.619,24.22,22.378,21.125,20.523,20.133,19.854,19.624,19.147,19.405,19.539,19.887,19.954,18.73,9.40345,11.13145,-0.66833,,,,M0717clu,109.3736402,37.7315313,-57.76657288764689,-46.52819999998883,74.17445880101035,pagul21_photoz_f160w_radius,2.092463710033678,False
2345,0.60914,0.5927,0.6283,0.6114,0.592,0.6325,114.161,24.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,889.868,12,16383,,30.109,26.374,24.728,22.533,21.273,20.737,20.437,20.271,20.107,18.943,19.182,19.552,21.313,21.426,,26.635,25.523,24.287,22.666,21.288,20.717,20.44,20.233,20.044,19.538,19.558,19.903,20.17,20.588,19.373,9.6086,10.39744,-3.61836,,,,M0717clu,109.4023551,37.7359155,23.976010027795308,-30.745079999999803,38.98857526326564,pagul21_photoz_f160w_radius,1.0605024254421882,False
1198,0.58227,0.5621,0.5996,0.5867,0.565,0.6181,118.301,24.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,827.811,12,16383,,26.296,26.519,24.634,22.451,21.183,20.687,20.42,20.254,20.112,18.945,19.074,19.444,20.343,20.71,,26.56,25.458,24.227,22.587,21.24,20.67,20.421,20.213,20.026,19.53,19.587,19.916,20.189,20.593,19.392,9.53548,10.35261,-2.88057,,,,M0717clu,109.3803465,37.7469899,-38.67577738404872,9.122760000019525,39.73714265367416,pagul21_photoz_f160w_radius,1.0939291717891382,False
1881,0.61018,0.5893,0.6393,0.6078,0.5567,0.6368,69.1288,24.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,844.509,11,16381,,26.059,,24.751,22.591,21.333,20.802,20.493,20.322,20.177,19.155,19.37,19.738,21.139,20.827,,26.692,25.58,24.343,22.723,21.344,20.774,20.497,20.29,20.1,19.594,19.615,19.96,20.227,20.645,19.429,9.58323,10.40515,-3.3621,,,,M0717clu,109.3826676,37.7395454,-32.06831194954217,-17.677439999999933,36.61787154173146,pagul21_photoz_f160w_radius,1.0048224680577154,False
588,0.55046,0.4429,0.5712,0.5463,0.461,0.5812,38.1261,24.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,638.87,12,16383,,28.446,26.968,24.47,22.453,21.27,20.801,20.53,20.365,20.217,19.406,19.52,19.933,20.638,20.861,,26.528,25.447,24.216,22.571,21.297,20.756,20.497,20.292,20.108,19.633,19.774,20.061,20.347,20.699,19.507,9.55706,10.27637,-3.23408,,,,M0717clu,109.3759994,37.7551669,-51.05064834623477,38.5599600000063,63.976864660383356,pagul21_photoz_f160w_radius,1.950105905346112,False
80,0.51188,0.4859,0.5363,0.5495,0.4941,0.5968,82.9145,25.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,673.288,12,16383,,28.815,25.442,24.299,22.281,21.227,20.789,20.552,20.403,20.276,19.257,19.401,19.789,20.466,21.666,,26.368,25.294,24.093,22.514,21.292,20.781,20.546,20.348,20.169,19.71,19.856,20.144,20.44,20.792,19.6,9.48221,10.0903,-2.39661,,,,M0717clu,109.399878,37.7665238,16.924460061077983,79.4448000000159,81.22754209873366,pagul21_photoz_f160w_radius,2.5736889866244557,False
570,0.50939,0.4844,0.5332,0.5121,0.4852,0.5425,58.9589,24.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,468.379,11,16381,,27.091,,25.02,22.52,21.278,20.948,20.614,20.45,20.293,19.574,19.569,19.888,20.65,21.43,,26.547,25.481,24.251,22.609,21.417,20.907,20.614,20.411,20.236,19.778,19.999,20.248,20.561,20.79,19.648,9.56289,10.20033,-3.36869,,,,M0717clu,109.4026732,37.7501123,24.881543936167045,20.36340000000223,32.15212727344027,pagul21_photoz_f160w_radius,0.9272873257813425,False
1653,0.49391,0.4725,0.5216,0.4988,0.4733,0.5245,59.9816,23.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,332.413,10,16380,,,,24.927,22.806,21.591,21.066,20.74,20.545,20.385,19.416,19.638,20.026,20.798,22.18,,26.904,25.82,24.574,22.893,21.633,21.058,20.743,20.5,20.29,19.789,19.997,20.227,20.515,20.695,19.581,9.61516,10.28616,-4.21365,,,,M0717clu,109.4055158,37.7422739,32.97356118839931,-7.854839999987462,33.896227649555875,pagul21_photoz_f160w_radius,1.0047495049851967,False
2001,0.58725,0.5541,0.658,0.5952,0.5559,0.6366,75.0377,24.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,650.513,11,16382,,,26.305,24.677,22.686,21.516,21.019,20.734,20.567,20.421,19.357,19.538,19.922,20.861,21.551,,26.899,25.792,24.559,22.934,21.572,21.01,20.732,20.524,20.336,19.835,19.873,20.211,20.48,20.892,19.686,9.55737,10.24272,-3.27904,,,,M0717clu,109.3896627,37.738607,-12.155390722177234,-21.055679999983568,24.31244915409594,pagul21_photoz_f160w_radius,0.7044062218031981,True
382,0.63877,0.6078,0.6554,0.6284,0.5877,0.6558,65.8424,24.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,736.112,12,16383,,28.77,26.344,24.975,22.846,21.597,21.047,20.735,20.573,20.432,19.411,19.594,20.003,20.33,21.749,,26.994,25.866,24.625,23.011,21.604,21.016,20.74,20.534,20.344,19.827,19.815,20.17,20.434,20.862,19.617,9.56235,10.35499,-3.20828,,,,M0717clu,109.3966606,37.758806,7.765501253214496,51.66072000000952,52.241104511993804,pagul21_photoz_f160w_radius,1.622370900399793,False
