catalog_index,IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC,SIMBAD_MAIN_ID,SIMBAD_RA,SIMBAD_DEC,SIMBAD_OTYPE,SIMBAD_ZSPEC,SIMBAD_RVZ_QUAL,SIMBAD_RVZ_BIBCODE,SIMBAD_MATCH_SEP_ARCSEC,ZSPEC_SOURCE
8298,807,0.073092,0.0405,0.1404,0.088,0.035,0.151,25.6916,24.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.092524,10,4092,,,,26.007,25.349,25.053,25.04,24.926,24.964,24.918,24.729,25.061,,,,,26.931,26.711,25.928,25.371,25.094,24.957,24.926,24.905,24.874,24.933,25.726,26.091,26.281,24.882,26.72,9.05349,6.34386,-3.5303,,,,M0416clu,64.0308912,-24.0691549,CLASHVLT J041607.41-240409.0,64.030891,-24.069155,G,0.39,D,2017ApJ...835..254M,0.0007495152887016925,SIMBAD
8299,809,0.0,0.0,0.1435,0.1265,0.0307,0.3623,268.255,1.0,0,0.0,508800000.0,99.0,0.54,270.06,32.0,0.0,2.27622e-59,,1000000000.0,200369.0,10,4092,,,,29.861,29.008,28.635,28.935,29.453,28.942,28.588,28.521,,,,,,29.663,29.647,29.125,28.81,28.717,28.786,28.812,28.845,28.863,28.932,29.715,30.091,30.604,31.122,33.35,8.95019,5.08119,-4.84777,,,,M0416clu,64.0301071,-24.0621987,[MAC2016] M0416cl  22701,64.030106,-24.062195,G,0.59,E,2016A&A...590A..30M,0.013802067094274733,SIMBAD
8300,812,0.0,0.0,0.1976,0.8961,0.2378,3.0402,21.3171,1.0,0,0.0,1139000000.0,99.0,1.2,20.5469,33.0,0.25,3.45388e-05,,1000000000.0,27023600.0,10,4092,,,,,30.112,30.255,28.565,28.587,28.235,28.324,,26.449,,,,,30.795,30.687,30.607,30.151,28.954,28.585,28.471,28.422,28.382,28.319,28.292,28.648,29.007,29.451,31.423,9.10887,7.18261,-3.22163,,,,M0416clu,64.036396,-24.0622151,CLASHVLT J041608.74-240344.0,64.0364,-24.0622,EmG,6.20988,D,2021A&A...646A..83R,0.05592761026656729,SIMBAD
8301,814,7.7007,6.7585,8.0,6.7457,5.5258,7.6204,16.5508,16.0,0,0.0,,99.0,6.45,17.0466,22.0,0.0,0.000198783,,1000000000.0,290.043,10,4092,,,,,28.451,28.118,27.802,27.736,27.553,27.395,,25.652,25.176,,,,,,,,32.093,28.437,28.161,28.096,28.038,27.644,25.497,24.978,24.591,24.103,24.558,8.84163,9.35912,0.13291,,,,M0416clu,64.0475583,-24.0622573,[MAC2016] M0416cl   2178,64.047554,-24.062248,G,0.375,E,2016A&A...590A..30M,0.036341490631523275,SIMBAD
8302,816,1.4095,0.0,2.551,1.6246,0.4974,5.7314,1.87496,1.0,0,0.0,904800000.0,99.0,0.0,1.55326,22.0,0.4,0.459954,,1000000000.0,64270000.0,9,4088,,,,,30.391,29.827,29.206,29.047,28.528,28.578,,,28.218,,,,30.683,30.311,30.211,30.162,29.945,29.034,28.685,28.622,28.594,28.488,28.453,28.401,28.636,29.156,31.025,9.01119,7.50784,-2.3716,,,,M0416clu,64.0495091,-24.0622191,[MAC2016] M0416cl  22698,64.049507,-24.062216,G,0.549,E,2016A&A...590A..30M,0.01312241760974282,SIMBAD
8303,817,0.0,0.0,0.0042,,,0.0168,1000000000.0,5.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,1.83743e-17,10,4092,,,,27.632,25.976,25.496,25.191,25.12,25.048,25.066,25.185,,,,,,29.577,28.201,26.787,25.985,25.54,25.251,25.186,25.14,25.079,25.319,26.115,26.582,26.943,27.33,inf,9.51003,,,,,,M0416clu,64.0259305,-24.0692725,[MAT2017] MACS0416CLS 1782,64.025963,-24.069317,G,0.46,D,2017ApJ...835..254M,0.19255151965431722,SIMBAD
8304,818,1.2039,0.6308,2.4067,1.1131,0.172,2.1818,11.4731,30.0,0,0.0,,99.0,1.98,11.4625,30.0,0.0,0.00324301,,1000000000.0,2.7859,10,4092,,,,27.989,28.255,28.389,27.958,27.856,27.666,27.686,28.142,25.296,,,,,28.008,28.027,28.112,28.252,27.977,27.7,27.685,27.693,27.736,27.713,27.822,28.099,28.539,28.802,28.153,8.7858,7.18164,-1.96507,,,,M0416clu,64.0370295,-24.0622487,[MAC2016] M0416cl   2177,64.037033,-24.062256,G,1.8225,E,2016A&A...590A..30M,0.028688075459775666,SIMBAD
8305,819,0.0,0.0,0.0508,5.0729,0.339,5.3978,29.6046,30.0,0,0.0,,99.0,5.25,28.0821,29.0,0.0,7.9808e-07,,1000000000.0,373.448,10,4092,,,,29.039,26.743,25.964,25.725,25.651,25.626,25.478,26.474,23.997,23.751,,,,,,,27.843,25.688,25.589,25.648,25.707,25.77,25.758,25.269,25.247,25.239,25.328,26.497,9.02359,7.91064,-1.87132,,,,M0416clu,64.0260489,-24.0694187,[MAT2017] MACS0416CLS 1782,64.025963,-24.069317,G,0.46,D,2017ApJ...835..254M,0.4623490901952196,SIMBAD
8306,821,0.0,0.0,0.0043,,,0.017,1000000000.0,5.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,1.20359e-17,10,4092,,,,29.043,26.432,25.865,25.566,25.452,25.384,25.482,25.47,,,,,,30.036,28.66,27.247,26.445,26.0,25.71,25.646,25.6,25.538,25.779,26.574,27.042,27.402,27.789,inf,9.50751,,,,,,M0416clu,64.0506221,-24.0693353,[RCL2021] MACS0416NE   265,64.05062,-24.06934,G,0.67971,D,2021A&A...646A..83R,0.01827384349121785,SIMBAD
8307,825,1.1537,0.0,1.8351,0.7948,0.2312,1.957,0.990878,27.0,3,0.05,,99.0,0.69,0.959429,1.0,0.0,0.61896,,1000000000.0,2.1149,9,4088,,,,,28.196,27.472,27.003,27.009,26.977,26.956,27.436,27.696,27.057,,,,28.491,28.491,28.534,28.182,27.374,27.138,27.055,27.091,27.043,27.03,27.143,27.543,27.752,28.308,27.083,8.96457,7.52654,-2.08631,,,,M0416clu,64.0544135,-24.0625763,[MAC2016] M0416cl   2155,64.054413,-24.062574,G,0.7655,E,2016A&A...590A..30M,0.008441549561281684,SIMBAD
