IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC
458,0.58476,0.0,0.9029,0.4919,0.167,0.9205,0.213414,2.0,0,0.0,1278000000.0,99.0,0.14,0.383344,7.0,0.0,0.825578,,1000000000.0,43560200.0,8,4092,,,,28.885,27.849,27.02,26.715,26.614,26.479,26.509,26.461,24.915,,,,,29.525,29.412,29.027,27.784,27.035,26.773,26.648,26.566,26.505,26.399,26.711,27.008,27.295,27.875,29.849,9.25675,7.32019,-3.66109,,,,M0416clu,64.0358558,-24.0630958
459,5.5638,4.8561,6.3052,5.2045,0.9075,6.8735,1.89709,33.0,1,0.05,,99.0,0.84,3.41081,1.0,0.0,0.181699,,1000000000.0,38.3703,8,4092,,,,,32.358,28.378,28.093,28.326,28.452,28.171,,,,,,,,,,30.565,28.288,28.089,28.151,28.207,28.271,28.486,28.31,28.253,28.339,28.385,29.465,8.93718,8.10115,-1.72593,,,,M0416clu,64.0349333,-24.059308
460,0.69091,0.0845,0.8339,0.4833,0.1085,0.7542,1.37899,30.0,1,0.1,,99.0,0.11,0.472992,33.0,0.3,0.789389,,1000000000.0,5.90269,8,4092,,,,26.186,25.848,25.295,25.282,25.251,25.213,25.246,25.353,,,,,,26.343,26.339,26.319,25.757,25.41,25.251,25.302,25.261,25.247,25.258,25.721,25.879,26.283,26.35,25.127,8.77238,7.86246,-1.21221,,,,M0416clu,64.0242349,-24.0632988
462,0.13277,0.0617,0.6209,0.3747,0.1599,0.623,0.627675,1.0,0,0.0,2750000000.0,99.0,0.44,0.542783,1.0,0.0,0.762318,,1000000000.0,194144000.0,8,4092,,,,27.746,26.346,25.597,25.102,24.934,24.846,24.822,24.749,,,,,,30.7,29.871,27.976,26.339,25.517,25.141,24.955,24.89,24.851,24.681,25.259,25.585,25.996,26.578,28.687,9.41017,8.00782,-3.95756,,,,M0416clu,64.0566675,-24.0632939
463,2.4906,0.0715,4.1592,2.3197,0.4941,4.0632,0.130619,33.0,3,0.15,,99.0,3.2,0.0864836,33.0,0.2,0.95768,,1000000000.0,21.1823,7,4088,,,,,28.296,28.421,28.094,28.179,27.906,27.785,27.271,,27.663,,,,34.272,29.116,28.397,28.325,28.383,28.334,28.05,27.927,27.764,27.37,27.754,27.743,27.778,28.215,27.67,8.88185,8.04333,-1.29381,,,,M0416clu,64.0319579,-24.063231
464,0.0,0.0,0.0328,0.104,0.0197,0.6653,6.95753,5.0,0,0.0,,99.0,0.69,7.7335,1.0,0.0,0.0209263,,1000000000.0,0.0294901,8,4092,,,,27.484,26.549,25.796,25.379,25.267,25.227,25.142,25.861,26.132,25.536,,,,30.483,28.872,27.512,26.363,25.866,25.524,25.413,25.382,25.344,25.409,26.183,26.558,27.031,27.425,29.566,9.44543,6.60806,-5.85078,,,,M0416clu,64.0490946,-24.0633749
465,0.0,0.0,0.0704,0.2712,0.0426,0.7286,9.07499,3.0,0,0.0,,99.0,0.56,7.09785,1.0,0.0,0.0287555,,1000000000.0,0.102235,8,4092,,,,29.291,27.536,26.869,26.509,26.374,26.266,26.382,27.398,24.76,25.131,,,,31.605,30.769,29.183,27.673,27.064,26.788,26.62,26.566,26.536,26.428,27.238,27.47,27.898,28.305,28.975,9.3298,6.58432,-4.99201,,,,M0416clu,64.0364175,-24.0633876
466,0.0,0.0,0.1709,0.3396,0.0888,0.7087,2.54543,27.0,3,0.05,,99.0,0.46,2.08885,1.0,0.0,0.351895,,1000000000.0,0.294609,8,4092,,,,28.719,27.754,27.389,27.277,27.252,27.183,27.188,28.218,,,,,,28.775,28.786,28.594,27.728,27.443,27.341,27.268,27.262,27.28,27.236,27.868,28.059,28.568,28.278,27.128,8.93551,6.69465,-2.75689,,,,M0416clu,64.0527069,-24.0634126
467,0.0,0.0,0.1407,1.6413,0.5151,6.3102,3.2736,1.0,0,0.0,806400000.0,99.0,1.41,1.99972,33.0,0.3,0.367931,,1000000000.0,952282000.0,7,4088,,,,,27.341,26.483,25.724,25.456,25.217,25.247,26.006,25.152,27.757,,,,27.454,27.069,26.97,26.952,26.807,25.982,25.641,25.594,25.582,25.498,25.479,25.429,25.66,26.186,28.069,8.95968,8.55951,-1.01625,,,,M0416clu,64.0428987,-24.0606602
468,0.44487,0.053,0.6748,0.3504,0.1655,0.5802,0.137625,3.0,0,0.0,,99.0,4.15,7.4598,33.0,0.25,0.0239952,,1000000000.0,0.422978,8,4092,,,,28.523,26.963,26.181,25.858,25.707,25.594,25.588,25.504,,,,,,30.922,30.16,28.502,26.918,26.187,25.898,25.718,25.638,25.594,25.469,26.208,26.44,26.822,27.276,27.835,9.37577,7.59444,-4.09849,,,,M0416clu,64.0543174,-24.0634791
469,1.248,1.1394,1.4198,1.263,1.1756,1.4193,1.14012,33.0,3,0.1,,99.0,1.9,5.47169,33.0,0.15,0.0648392,,1000000000.0,68.1042,8,4092,,,,25.346,25.531,25.321,25.071,25.182,24.939,24.826,25.229,23.312,24.835,,,,25.409,25.315,25.386,25.471,25.377,25.092,25.147,24.962,24.83,25.179,25.204,25.43,25.86,25.971,25.534,8.80395,4.98945,-4.18636,,,,M0416clu,64.0405874,-24.0635431
470,3.5202,0.3209,3.5568,0.4205,0.3248,3.6436,24.5328,25.0,0,0.4,,99.0,0.34,22.3795,26.0,0.5,1.38149e-05,,1000000000.0,25.3627,8,4092,,,,26.05,24.596,23.753,23.375,23.194,23.093,23.009,22.259,22.853,23.182,,,,27.919,27.106,26.144,24.665,23.782,23.391,23.168,23.009,22.875,22.535,22.933,23.201,23.558,23.408,22.496,9.50111,8.63699,-4.01821,,,,M0416clu,64.0467456,-24.0642142
471,0.48985,0.4312,0.5525,0.4586,0.2671,0.5648,11.1073,3.0,0,0.0,,99.0,0.12,12.227,10.0,0.0,0.00221284,,1000000000.0,2.22063,8,4092,,,,29.535,25.971,25.033,24.676,24.499,24.422,24.312,24.649,23.694,23.67,,,,30.24,29.239,27.731,26.027,25.129,24.788,24.615,24.511,24.433,24.341,24.857,25.175,25.48,26.005,26.577,9.3744,8.35915,-3.22663,,,,M0416clu,64.0466263,-24.0635918
473,0.49492,0.0333,0.6998,0.3682,0.1595,0.6061,0.294895,3.0,0,0.0,,99.0,0.16,0.317867,8.0,0.0,0.853053,,1000000000.0,0.475976,8,4092,,,,28.389,27.003,26.214,25.837,25.735,25.638,25.587,25.523,,,,,,31.003,30.25,28.571,26.965,26.207,25.911,25.73,25.643,25.595,25.476,26.18,26.422,26.79,27.257,27.811,9.36555,7.60949,-3.9995,,,,M0416clu,64.0532867,-24.0635454
474,1.9326,1.2351,2.7296,2.0423,1.3879,2.6173,2.03412,2.0,0,0.0,570900000.0,99.0,2.57,1.56101,31.0,0.15,0.458174,,1000000000.0,2434330000.0,8,4092,,,,25.918,25.597,25.762,25.466,25.126,24.868,24.655,24.85,23.508,23.349,,,,27.669,26.066,25.758,25.709,25.76,25.506,25.004,24.846,24.804,24.728,24.67,24.64,24.664,25.146,27.028,8.77085,9.20593,0.11092,,,,M0416clu,64.0409887,-24.0597451
475,0.0,0.0,0.0955,0.6744,0.0761,1.068,3.12744,1.0,0,0.0,1139000000.0,99.0,1.15,2.52373,1.0,0.0,0.283126,,1000000000.0,355657000.0,7,4088,,,,,26.206,25.429,25.003,24.855,24.817,24.773,25.044,24.028,23.857,,,,27.32,27.166,27.096,26.173,25.266,25.047,24.97,24.924,24.88,24.868,24.994,25.374,25.758,26.276,28.215,9.03501,8.31223,-1.46392,,,,M0416clu,64.0486758,-24.063607
477,1.4101,1.2321,1.4362,1.8473,1.3543,2.1615,6.33958,32.0,1,0.05,,99.0,1.93,3.66128,33.0,0.1,0.160311,,1000000000.0,207.895,8,4092,,,,24.55,24.596,24.93,24.614,24.616,24.325,24.191,24.624,23.108,24.062,,,,25.606,24.66,24.549,24.636,24.776,24.601,24.393,24.374,24.424,24.51,24.514,24.525,24.766,25.236,24.333,8.73031,5.10863,-3.90365,,,,M0416clu,64.0409695,-24.0630271
478,0.51276,0.0381,0.8238,0.4238,0.1568,0.7752,0.240415,32.0,1,0.4,,99.0,0.2,0.297064,30.0,0.4,0.861972,,1000000000.0,5.08506,8,4092,,,,28.037,27.093,26.412,26.13,26.112,26.043,25.949,25.686,,,,,,28.643,28.376,28.057,27.108,26.516,26.129,26.124,26.005,25.92,25.696,26.1,25.94,26.563,26.267,24.978,9.23981,7.30234,-3.59104,,,,M0416clu,64.0279417,-24.0636028
479,0.11087,0.0916,0.1496,0.1267,0.0957,0.1997,32.949,33.0,0,0.0,,99.0,0.58,37.3172,33.0,0.0,7.88278e-09,,1000000000.0,0.121987,8,4092,,,,26.629,26.668,26.002,26.516,26.995,27.006,26.786,,24.268,25.767,,,,26.419,26.612,26.514,26.544,26.434,26.812,26.854,26.889,26.916,27.141,27.556,28.181,28.291,27.051,27.462,8.71835,4.23426,-4.76441,,,,M0416clu,64.0388819,-24.0636102
480,1.2959,0.0,3.0289,1.7709,0.4307,5.0909,1.15363,1.0,0,0.0,570900000.0,99.0,0.0,0.920509,33.0,0.4,0.631123,,1000000000.0,53633900.0,8,4092,,,,29.63,29.477,29.272,28.895,28.526,28.648,28.554,,,31.26,,,,30.217,29.59,29.447,29.477,29.486,28.945,28.566,28.552,28.582,28.551,28.567,28.541,28.734,29.263,31.193,8.90293,7.45627,-2.06605,,,,M0416clu,64.0444005,-24.0594571
481,1.411,1.1355,1.5749,1.4362,0.3872,2.322,1.39819,33.0,1,0.25,,99.0,1.99,1.37481,1.0,0.0,0.50288,,1000000000.0,15.8813,8,4092,,,,28.591,28.335,28.423,28.017,27.738,27.181,27.179,27.691,,,,,,29.339,28.776,28.605,28.46,28.266,27.719,27.595,27.635,27.176,27.402,27.21,27.279,27.627,27.735,27.557,8.86539,8.04439,-1.21862,,,,M0416clu,64.0232766,-24.0636257
