IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC,SIMBAD_MAIN_ID,SIMBAD_RA,SIMBAD_DEC,SIMBAD_OTYPE,SIMBAD_ZSPEC,SIMBAD_RVZ_QUAL,SIMBAD_RVZ_BIBCODE,SIMBAD_MATCH_SEP_ARCSEC,ZSPEC_SOURCE,SIMBAD_ZSPEC_USABLE_FOR_LENSING
3299,6.6475,4.925,8.0,5.1214,1.5146,7.0435,4.52747,23.0,0,0.0,,99.0,6.25,3.92941,23.0,0.0,0.140197,,1000000000.0,48.07,9,16376,,,,,29.659,29.902,28.922,28.316,27.928,28.609,,26.554,26.991,,23.306,,,,,31.092,28.846,28.642,28.595,28.621,28.651,28.198,26.881,26.646,26.412,26.273,27.265,8.90932,8.32457,-1.31687,,,,A370clu,39.9660925,-1.5819523,,,,,,,,,,False
3300,0.0,0.0,0.1242,1.1067,0.2019,5.4553,10.8294,1.0,0,0.0,640500000.0,99.0,5.35,9.03575,33.0,0.0,0.0109122,,1000000000.0,81059400.0,10,16380,,,,29.545,28.148,27.583,27.224,27.091,27.037,27.172,,25.88,25.665,,,,28.336,28.291,28.27,28.288,27.699,27.253,27.172,27.17,27.23,27.16,27.191,27.409,27.831,28.297,30.281,8.88961,7.39788,-2.03561,,,,A370clu,39.9681902,-1.5819941,,,,,,,,,,False
3301,0.0,0.0,0.0799,0.3722,0.0562,1.0669,24.9149,1.0,0,0.0,1015000000.0,99.0,5.25,23.7891,33.0,0.0,6.82739e-06,,1000000000.0,9147540.0,10,16380,,,,29.927,28.568,27.601,27.378,27.301,27.255,27.245,,26.015,,,23.766,,29.422,29.438,29.061,27.991,27.624,27.517,27.45,27.434,27.445,27.398,27.903,28.292,28.638,29.219,31.29,9.04171,6.59984,-3.33556,,,,A370clu,39.9681657,-1.5821167,,,,,,,,,,False
3302,0.35883,0.2212,0.5249,0.4655,0.2686,1.157,1.21375,21.0,0,0.0,,99.0,1.15,3.99866,29.0,0.15,0.135426,,1000000000.0,9.57745,9,16376,,,,,24.521,23.948,23.618,23.328,23.208,23.02,22.907,23.255,22.86,,,,25.802,25.822,25.507,24.584,23.904,23.563,23.33,23.17,23.05,22.882,23.29,23.284,23.827,23.713,22.35,9.2723,8.98016,-2.08708,,,,A370clu,39.9687788,-1.5856215,[DSB2018] A370  7.4.1,39.96880833333333,-1.5856333333333337,LeG,2.751,C,2018ApJ...855....4K,0.11449911446965388,SIMBAD,False
3307,3.3838,3.3513,3.4299,3.3856,3.3358,3.4346,27.4001,33.0,3,0.25,,99.0,-99.9,1000000000.0,,,,,1000000000.0,11425.1,10,16380,,,,25.103,23.402,23.296,23.095,22.814,22.789,22.668,21.916,22.337,22.619,23.438,23.545,,,,24.995,23.441,23.136,23.108,22.899,22.862,22.63,21.997,21.956,21.8,21.732,21.752,22.61,8.85107,10.84563,1.58789,,,,A370clu,39.9725757,-1.5838916,[LRB2019] 6294,39.972565,-1.5838926,G,0.3748,C,2019MNRAS.485.3738L,0.03867320491371579,SIMBAD,False
3308,0.67409,0.6687,0.6803,0.6783,0.6669,0.7376,56.9509,32.0,1,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,1161.6,10,16380,,,,24.182,23.369,22.49,22.011,21.749,21.658,21.509,20.745,20.516,21.041,21.183,21.504,,25.072,24.654,24.22,23.439,22.545,21.981,21.738,21.63,21.463,21.123,21.069,21.356,21.216,21.824,20.273,9.05011,10.00862,0.10294,,,,A370clu,39.968231,-1.584222,[DSB2018] A370  2.3.2,39.968245833333334,-1.5842611111111111,LeI,0.7246,C,2019MNRAS.485.3738L,0.1505789508415751,SIMBAD,True
3309,4.9459,4.4664,5.6619,4.9574,3.1978,6.2391,2.25679,23.0,0,0.0,,99.0,4.21,3.4086,33.0,0.4,0.181899,,1000000000.0,148.169,10,16380,,,,29.006,28.836,27.489,27.825,27.68,27.303,27.352,27.166,25.304,25.442,29.173,,,,,,29.619,27.451,27.363,27.328,27.348,27.373,26.833,25.562,25.356,25.114,24.988,26.035,8.96254,9.53686,-0.01101,,,,A370clu,39.9792808,-1.582018,,,,,,,,,,False
3310,0.0,0.0,0.1165,0.1332,0.0329,0.375,40.3673,25.0,0,0.0,,99.0,0.52,42.5777,30.0,0.0,5.68032e-10,,1000000000.0,0.0211924,10,16380,,,,28.31,28.349,27.771,27.374,27.109,27.068,27.415,26.91,,,24.442,24.993,,29.246,29.134,28.467,27.881,27.63,27.504,27.468,27.457,27.438,27.451,28.224,28.589,28.881,27.546,28.701,9.07104,5.62078,-4.77292,,,,A370clu,39.9619618,-1.5820504,,,,,,,,,,False
3312,1.1953,0.4642,1.5731,1.499,0.3229,5.6204,22.076,33.0,3,0.15,,99.0,0.0,21.9718,32.0,0.3,1.69391e-05,,1000000000.0,8.10951,10,16380,,,,29.356,28.741,28.185,27.962,27.797,27.641,27.644,,25.063,29.033,25.266,,,28.936,28.51,28.482,28.566,28.461,28.114,27.977,27.995,27.712,28.003,27.924,28.001,28.365,28.522,28.312,8.86653,7.56358,-1.89223,,,,A370clu,39.974984,-1.5820519,,,,,,,,,,False
3314,0.0,0.0,0.9061,1.4438,0.3037,4.7952,2.49157,33.0,1,0.2,,99.0,0.51,1.73286,1.0,0.0,0.420449,,1000000000.0,10.2618,10,16380,,,,29.522,28.247,27.829,27.812,27.741,27.59,27.436,28.94,25.267,24.603,26.609,,,29.164,28.704,28.605,28.534,28.422,27.942,27.855,27.914,27.494,27.763,27.633,27.722,28.086,28.208,28.031,8.92719,7.51644,-2.10123,,,,A370clu,39.9845773,-1.5822011,,,,,,,,,,False
