catalog_index,IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC,SIMBAD_MAIN_ID,SIMBAD_RA,SIMBAD_DEC,SIMBAD_OTYPE,SIMBAD_ZSPEC,SIMBAD_RVZ_QUAL,SIMBAD_RVZ_BIBCODE,SIMBAD_MATCH_SEP_ARCSEC,ZSPEC_SOURCE
1727,2515,1.1376,1.1225,1.2321,1.1669,1.0969,1.2624,2.81597,32.0,3,0.25,,99.0,0.83,8.9906,32.0,0.3,0.0111613,,1000000000.0,905.397,10,16380,,,,24.087,23.819,23.284,22.873,22.716,22.625,22.514,22.266,22.027,22.209,22.478,23.703,,24.408,24.064,24.063,23.78,23.303,22.824,22.748,22.571,22.453,22.321,22.173,22.375,22.755,22.833,22.13,8.89667,9.66663,0.273,,,,A370clu,39.9700792,-1.5925661,[LRB2019] 3876,39.97013,-1.5925699999999998,G,1.2563,C,2019MNRAS.485.3738L,0.18334771120987584,SIMBAD
1729,2518,0.3929,0.3628,0.4249,0.3895,0.3113,0.4783,7.75418,26.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,29.9446,10,16380,,,,26.18,24.594,23.712,23.324,23.1,23.004,22.916,22.323,22.71,23.161,23.88,,,28.283,27.269,26.188,24.613,23.75,23.359,23.113,22.939,22.789,22.406,22.814,23.098,23.457,23.218,22.348,9.51243,8.82761,-4.08263,,,,A370clu,39.9673012,-1.5924178,[LRB2019] 3895,39.9673,-1.59242,G,0.382059,D,2021A&A...646A..83R,0.00902077535160533,SIMBAD
1731,2521,0.0,0.0,0.0239,0.0564,0.0122,0.2015,146.668,1.0,0,0.0,508800000.0,99.0,0.39,150.299,33.0,0.0,2.30684e-33,,1000000000.0,220336.0,9,16376,,,,,27.169,26.613,26.577,26.715,26.79,26.819,29.125,,,,28.466,,27.869,27.807,27.154,26.929,27.0,26.972,27.02,27.04,27.041,27.188,27.99,28.411,28.889,29.427,31.674,8.77481,4.70405,-4.48315,,,,A370clu,39.9624791,-1.5924562,[LRB2019] 3723,39.96248,-1.5924599999999998,EmG,4.16466,C,2021A&A...646A..83R,0.014058161072268103,SIMBAD
1739,2530,0.69357,0.5899,0.7877,0.6942,0.499,2.6773,34.65,1.0,0,0.0,718700000.0,99.0,2.91,35.0032,33.0,0.2,2.50702e-08,,1000000000.0,334033000.0,9,16316,,,,26.101,25.471,24.766,35.19,,35.127,24.221,24.857,23.048,23.321,23.584,23.463,,25.986,25.954,26.004,25.506,24.817,24.701,24.671,24.708,24.675,24.717,24.869,25.267,25.635,26.181,28.16,8.83694,8.25558,-0.98137,,,,A370clu,39.9556355,-1.592671,[MKM2003] ISO ACO   370  5,39.95583333333333,-1.5925000000000002,G,0.7,D,2003A&A...407..791M,0.9411697035581303,SIMBAD
1742,2534,0.34366,0.3294,0.3592,0.3509,0.3315,0.3875,169.766,23.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,187.413,10,16380,,,,24.074,22.127,21.166,20.644,20.337,20.181,20.064,18.707,19.273,19.516,20.683,21.192,,26.187,25.153,23.957,22.185,21.188,20.701,20.325,20.105,19.92,19.459,19.959,20.154,20.53,20.166,19.369,9.61171,10.18215,-3.87725,,,,A370clu,39.9613965,-1.5934012,DES J023950.73-013536.1,39.9614147,-1.5933693,GiC,0.3832,C,2019MNRAS.485.3738L,0.13220354310480265,SIMBAD
1755,2551,0.71107,0.0836,0.8116,0.4693,0.0979,0.6956,4.58467,29.0,1,0.1,,99.0,0.1,2.34513,31.0,0.3,0.309572,,1000000000.0,5.72041,10,16380,,,,26.153,25.884,25.247,25.169,25.054,25.136,25.084,25.139,25.806,25.818,,,,26.471,26.458,26.392,25.725,25.345,25.178,25.154,25.111,25.096,25.096,25.55,25.712,26.156,26.178,24.968,8.79228,7.92954,-1.17848,,,,A370clu,39.9803084,-1.5932827,[LRB2019] 3553,39.9803,-1.59328,G,0.7372,C,2019MNRAS.485.3738L,0.03175262265476088,SIMBAD
1762,2560,0.11242,0.0,0.3445,0.1938,0.0542,0.6145,59.2669,31.0,0,0.0,,99.0,0.55,59.874,32.0,0.0,9.96626e-14,,1000000000.0,0.0929339,10,16380,,,,,27.71,26.998,27.385,27.679,27.479,27.809,30.262,,,,,,27.761,27.891,27.752,27.529,27.465,27.669,27.692,27.733,27.767,27.872,28.579,28.877,29.168,28.347,28.066,8.86372,5.87586,-3.59768,,,,A370clu,39.9622344,-1.572056,[DSB2018] A370 20.2.2,39.962208333333336,-1.572097222222222,EmG,4.91576,D,2021A&A...646A..83R,0.17556160685476913,SIMBAD
1782,2593,1.228,1.1584,1.2927,1.2761,1.1948,1.3969,5.2236,31.0,1,0.15,,99.0,1.58,10.0899,33.0,0.25,0.00644191,,1000000000.0,1776.81,10,16380,,,,22.508,22.536,22.244,21.809,21.757,21.695,21.607,21.435,21.06,21.197,22.599,22.351,,22.927,22.638,22.557,22.513,22.295,21.782,21.73,21.642,21.566,21.487,21.434,21.589,21.984,22.215,22.028,8.70976,9.90587,0.94637,,,,A370clu,39.97037,-1.5944354,[BHF2019] A370    895,39.97051,-1.5944500000000004,G,1.3399,C,2019MNRAS.485.3738L,0.5065391308598945,SIMBAD
1785,2596,0.43171,0.3804,0.4702,0.4254,0.3886,0.4657,138.503,25.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,234.182,10,16380,,,,24.334,22.656,21.743,21.281,20.992,20.853,20.748,19.491,20.095,20.352,21.462,22.103,,26.533,25.5,24.331,22.726,21.723,21.279,20.993,20.805,20.641,20.23,20.587,20.834,21.184,21.065,20.137,9.55313,9.77424,-3.63277,,,,A370clu,39.9721265,-1.5943155,[LRB2019] 3811,39.97213,-1.5943100000000003,G,0.3764,C,2019MNRAS.485.3738L,0.02346651030180514,SIMBAD
1788,2600,0.36761,0.313,0.3831,0.3482,0.2788,0.3861,9.74207,33.0,3,0.2,,99.0,-99.9,1000000000.0,,,,,1000000000.0,27.0801,10,16380,,,,24.412,23.856,23.732,23.69,23.619,23.568,23.577,23.232,23.769,23.993,23.59,25.588,,24.573,24.469,24.371,23.885,23.687,23.688,23.591,23.551,23.534,23.468,24.124,23.944,24.626,24.164,22.945,8.75723,7.86099,-1.16165,,,,A370clu,39.9740901,-1.5945064,[LRB2019] 3402,39.9740886,-1.5945053000000002,EmG,0.3746,C,2019MNRAS.485.3738L,0.006694701039644968,SIMBAD
1789,2601,0.34867,0.2958,0.4078,0.3179,0.231,0.3989,2.51438,24.0,0,0.3,,99.0,-99.9,1000000000.0,,,,,1000000000.0,24.2246,10,16380,,,,24.927,23.543,22.803,22.394,22.213,22.152,22.072,21.659,22.232,22.621,23.841,24.439,,26.305,25.705,24.907,23.482,22.802,22.454,22.221,22.102,22.002,21.709,22.298,22.574,22.972,22.506,21.794,9.43901,8.99863,-3.10839,,,,A370clu,39.964224,-1.5947466,[LRB2019] 3539,39.96421999999999,-1.59475,G,0.377029,D,2021A&A...646A..83R,0.018894893458464533,SIMBAD
1791,2603,0.28907,0.2697,0.3814,0.3203,0.2534,0.3662,21.9744,31.0,1,0.25,,99.0,-99.9,1000000000.0,,,,,1000000000.0,27.9203,10,16380,,,,24.499,23.726,23.427,23.313,23.213,23.174,23.137,22.668,23.534,23.896,29.601,24.455,,24.873,24.758,24.579,23.757,23.408,23.304,23.16,23.113,23.089,22.963,23.552,23.579,24.087,23.754,22.631,9.06559,7.65555,-2.25359,,,,A370clu,39.9671909,-1.5946032,[LRB2019] 3353,39.96719,-1.59461,G,0.2423,C,2019MNRAS.485.3738L,0.024693316320305882,SIMBAD
1792,2604,0.078658,0.0163,0.2102,0.1485,0.0613,0.3082,0.74729,1.0,0,0.0,2750000000.0,99.0,-99.9,1000000000.0,,,,,1000000000.0,37791800.0,10,16380,,,,26.633,25.563,25.001,24.76,24.616,24.598,24.498,24.495,25.193,25.807,,,,29.713,28.245,26.789,25.539,25.011,24.701,24.609,24.573,24.533,24.485,25.243,25.598,26.114,26.623,28.83,9.42983,7.15156,-5.02567,,,,A370clu,39.9654149,-1.594581,[LRB2019] 3246,39.96542,-1.59458,G,0.4224,C,2019MNRAS.485.3738L,0.01870263553926748,SIMBAD
1795,2607,0.0,0.0,0.4824,0.2879,0.0918,0.5674,1.52044,6.0,0,0.0,,99.0,0.35,1.55884,5.0,0.0,0.458671,,1000000000.0,0.0808892,10,16380,,,,29.055,28.282,27.256,26.904,26.636,26.632,26.467,26.581,27.414,28.413,,,,32.682,31.594,29.695,28.081,27.292,26.9,26.674,26.596,26.551,26.374,27.163,27.415,27.888,28.368,29.465,9.4563,7.28668,-5.08707,,,,A370clu,39.9662779,-1.5946589,NAME CANUCS-A370-z8-LAE,39.966133,-1.5947710000000002,LeG,8.203,D,2025ApJ...988...26W,0.6593619806321664,SIMBAD
1802,2616,1.1972,1.1368,1.5673,1.5301,0.4366,6.2087,14.3034,33.0,3,0.25,,99.0,1.52,14.2644,33.0,0.25,0.000798961,,1000000000.0,16.0508,10,16380,,,,29.207,29.147,28.066,27.956,27.902,27.835,27.268,,24.631,24.806,,,,29.621,28.938,28.748,28.743,28.429,27.952,27.72,27.695,27.333,27.548,27.335,27.357,27.677,27.814,27.574,8.88617,7.73217,-1.63416,,,,A370clu,39.9863147,-1.5729203,[LRB2019] 10102,39.98655,-1.5727799999999998,G,1.061,D,2021A&A...646A..83R,0.9859562573080913,SIMBAD
1803,2617,0.64514,0.6145,0.6569,0.5627,0.3892,0.6393,70.9518,32.0,1,0.4,,99.0,-99.9,1000000000.0,,,,,1000000000.0,303.306,10,16380,,,,24.383,23.618,22.967,22.646,22.499,22.372,22.261,21.471,21.607,21.929,22.942,22.829,,24.98,24.685,24.383,23.668,23.005,22.587,22.46,22.316,22.195,21.973,22.167,22.416,22.365,22.826,21.321,9.09202,9.10805,-0.9732,,,,A370clu,39.9764989,-1.5949667,[LRB2019] 3313,39.97650599,-1.59506503,G,0.5635,C,2019MNRAS.485.3738L,0.35490628900594856,SIMBAD
1816,2648,0.0,0.0,0.1818,0.3731,0.0893,1.1179,20.3017,3.0,0,0.0,,99.0,0.54,20.6031,27.0,0.05,3.35804e-05,,1000000000.0,0.0617643,10,16380,,,,29.247,29.276,28.577,27.695,27.732,28.121,27.745,28.08,,,,25.11,,33.221,32.467,30.788,29.182,28.424,28.128,27.947,27.86,27.812,27.693,28.397,28.639,29.007,29.474,30.028,9.17774,6.56699,-4.30675,,,,A370clu,39.9573128,-1.5727402,[LRB2019] 9695,39.95730999999999,-1.5727400000000002,EmG,5.9386,C,2019MNRAS.485.3738L,0.010101893965465207,SIMBAD
1820,2654,0.39696,0.3757,0.417,0.4011,0.3619,0.4654,52.0568,25.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,175.333,10,16380,,,,24.323,22.693,21.821,21.38,21.119,20.991,20.886,19.949,20.56,20.838,22.016,22.658,,26.582,25.558,24.407,22.754,21.81,21.372,21.105,20.92,20.761,20.355,20.753,21.021,21.375,21.166,20.284,9.54413,9.66088,-3.6573,,,,A370clu,39.9769763,-1.5962131,[LRB2019] 3295,39.97697,-1.59621,G,0.3803,C,2019MNRAS.485.3738L,0.025269128869878255,SIMBAD
