main_id,ra,dec,otype,rvz_redshift,rvz_qual,rvz_bibcode
ALMA J114934.4+222445,177.3934059,22.4125742,rG,0.976,D,2022ApJ...939....5C
CLASHVLT J114934.30+222455.3,177.392927,22.415369,G,1.8091,E,2016ApJ...817...60T
CLASHVLT J114933.74+222453.9,177.390575,22.414967,G,1.2742,E,2016ApJ...817...60T
CLASHVLT J114933.33+222450.9,177.38887,22.414151,G,0.57,D,2017ApJ...835..254M
CLASHVLT J114933.20+222452.4,177.388335,22.414558,G,2.1118,E,2016ApJ...817...60T
CLASHVLT J114934.29+222452.0,177.392846,22.414442,G,1.5369,E,2016ApJ...817...60T
CLASHVLT J114932.79+222449.1,177.386623,22.413649,G,0.53,D,2017ApJ...835..254M
CLASHVLT J114932.75+222446.5,177.38645,22.412914,G,1.7987,E,2016ApJ...817...60T
CLASHVLT J114932.71+222446.6,177.386306,22.412937,G,1.7887,E,2016ApJ...817...60T
CLASHVLT J114933.13+222442.5,177.388035,22.411811,AGN,0.54,D,2017ApJ...835..254M
CLASHVLT J114930.97+222446.3,177.379045,22.412851,G,1.0329,E,2016ApJ...817...60T
CLASHVLT J114932.67+222442.2,177.386093,22.411703,G,0.8636,E,2016ApJ...817...60T
CLASHVLT J114934.46+222438.6,177.393599,22.410714,rG,0.7517,E,2016ApJ...817...60T
CLASHVLT J114931.62+222441.1,177.381739,22.411401,G,2.1086,E,2016ApJ...817...60T
CLASHVLT J114931.93+222439.2,177.383011,22.410875,G,1.0027,E,2016ApJ...817...60T
CLASHVLT J114933.59+222434.7,177.389933,22.409634,G,0.57,D,2017ApJ...835..254M
CLASHVLT J114934.32+222434.0,177.392993,22.409446,G,0.9755,E,2016ApJ...817...60T
CLASHVLT J114932.49+222431.2,177.385368,22.408661,G,0.8395,E,2016ApJ...817...60T
CLASHVLT J114932.14+222437.0,177.38390416666664,22.41028611111111,GiC,0.554,C,2014ApJS..211...21E
CLASHVLT J114931.49+222426.1,177.381206,22.407246,G,0.67,D,2017ApJ...835..254M
CLASHVLT J114933.55+222418.8,177.389765,22.405227,G,0.9099,E,2016ApJ...817...60T
CLASHVLT J114932.21+222419.4,177.384185,22.405368,G,1.7945,E,2016ApJ...817...60T
CLASHVLT J114934.33+222412.8,177.393021,22.403541,G,3.1373,E,2016ApJ...817...60T
CLASHVLT J114930.69+222410.1,177.37787,22.402789,G,0.8668,E,2016ApJ...817...60T
CLASHVLT J114931.76+222420.9,177.382352,22.40579,G,0.9837,D,2016ApJ...817...60T
CLASHVLT J114930.63+222411.3,177.377656,22.403133,G,0.56,D,2017ApJ...835..254M
[LBL2018] MACS1149 cluster  5,177.3834737,22.4050736,G?,4.909,E,2018ApJ...862..156L
[LBL2018] MACS1149 cluster 12,177.3898132,22.3991764,G?,5.07,E,2018ApJ...862..156L
[LBL2018] MACS1149 cluster 22,177.3947955,22.4049827,G?,5.323,E,2018ApJ...862..156L
[LBL2018] MACS1149 cluster 31,177.3869602,22.4013863,G?,5.569,E,2018ApJ...862..156L
[GKS2016] 116a,177.39292916666668,22.40333888888889,G,3.13,D,2016ApJ...822...78G
MACSg J114934.59+222445.3,177.394135,22.41259,G,0.561,C,2014ApJS..211...21E
[MAT2017] MACS1149CLS 1153,177.3857951,22.4119945,G,0.55,D,2017ApJ...835..254M
[IKO2018] HFF4C-3358-4457,177.38993333333335,22.412716666666665,LeG,9.1096,D,2018Natur.557..392H
[SLM2018] M1149-clu  4749,177.4105,22.404710000000005,G,2.43,E,2022ApJ...941..181G
[MAT2017] MACS1149CLS 2605,177.4082617,22.399311,G,0.56,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 1576,177.398275,22.4066412,G,0.58,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 2463,177.4078547,22.4007747,G,0.56,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 1980,177.3979351,22.4031892,G,0.57,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 2356,177.4072687,22.4024638,G,0.56,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 2714,177.4118669,22.398049,G,0.58,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 1142,177.4031985,22.4113081,G,0.57,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 1238,177.4064936,22.410992,G,0.53,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 1383,177.4115267,22.4052303,EmG,0.57,D,2017ApJ...835..254M
