IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC
275,4.0455,3.5996,4.2971,3.8535,3.5592,4.1799,4.11895,23.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,204.112,10,4092,,,,28.694,26.89,26.414,26.484,26.525,26.426,26.436,25.905,24.417,24.05,,,,,,29.335,26.919,26.599,26.567,26.589,26.464,26.312,25.211,24.577,24.373,24.253,24.124,25.519,8.95126,9.72235,0.18347,,,,M1149clu,177.4018382,22.3127337
276,0.0,0.0,0.016,0.0265,,0.0755,22.2051,25.0,0,0.1,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.00442088,10,4092,,,,26.743,26.861,26.244,25.973,25.859,25.802,25.865,26.298,28.295,,,,,28.346,27.986,27.026,26.534,26.28,26.079,26.015,25.971,25.922,26.061,26.828,27.226,27.053,25.866,31.157,9.33889,4.87078,-6.76064,,,,M1149clu,177.4322962,22.3126086
278,0.068133,0.0,0.5603,0.5558,0.1627,1.378,1.57185,27.0,1,0.2,,99.0,0.37,1.17643,26.0,0.2,0.555317,,1000000000.0,2.18762,9,4088,,,,,27.732,27.492,26.722,26.499,26.509,26.471,26.315,26.619,29.875,,,,29.118,28.958,28.755,27.869,27.137,26.811,26.666,26.565,26.487,26.393,26.621,26.93,27.164,27.546,26.282,9.12311,7.60731,-2.80488,,,,M1149clu,177.4394692,22.3125909
279,1.5856,0.9657,1.9818,1.3711,0.6319,1.9766,0.857091,32.0,1,0.25,,99.0,1.12,0.7681,33.0,0.3,0.681097,,1000000000.0,42.7026,10,4092,,,,27.709,27.377,27.148,26.447,26.248,26.332,26.228,25.767,25.738,25.939,,,,28.322,27.774,27.578,27.405,27.149,26.532,26.414,26.283,26.159,26.024,25.828,25.919,26.275,26.364,26.184,8.8799,8.34353,-0.95874,,,,M1149clu,177.4394973,22.3124637
280,1.7818,1.5639,2.0248,1.7467,1.4314,1.9823,2.70388,33.0,3,0.2,,99.0,1.43,4.74073,31.0,0.1,0.0934466,,1000000000.0,173.987,10,4092,,,,25.76,26.06,25.916,25.661,25.272,25.275,25.323,25.515,24.769,24.539,,,,27.132,26.271,25.972,26.009,25.84,25.551,25.304,25.286,25.303,25.157,24.98,24.949,25.194,25.477,24.758,8.7205,8.8037,-0.18419,,,,M1149clu,177.4279667,22.3146879
281,0.0,0.0,0.0978,0.1041,0.0261,0.3693,4.00641,26.0,0,0.0,,99.0,0.39,6.53234,31.0,0.1,0.0381523,,1000000000.0,0.0503361,10,4092,,,,26.635,26.509,26.51,26.133,26.069,26.03,26.048,25.661,28.01,27.801,,,,27.618,27.509,26.869,26.423,26.247,26.135,26.125,26.118,26.099,26.154,26.961,27.325,27.545,26.156,27.784,8.91028,5.87954,-3.61497,,,,M1149clu,177.4264625,22.3125152
282,0.0,0.0,0.0964,0.16,0.0392,0.4492,97.6951,3.0,0,0.0,,99.0,0.53,99.9864,27.0,0.0,1.94194e-22,,1000000000.0,0.00659405,9,4088,,,,,29.416,28.729,28.53,28.365,28.433,28.291,26.53,,,,,,33.133,31.846,30.459,29.231,28.773,28.495,28.372,28.341,28.321,28.332,29.115,29.399,29.858,30.214,31.408,9.31411,5.62555,-5.89885,,,,M1149clu,177.4378182,22.3125651
283,1.305,1.119,1.5725,0.9487,0.1835,1.4681,3.98473,28.0,0,0.0,,99.0,0.0,3.27468,21.0,0.0,0.194496,,1000000000.0,6.73183,10,4092,,,,27.092,27.092,26.833,26.217,26.096,26.123,26.045,26.042,26.695,26.395,,,,26.923,26.985,27.075,27.111,26.463,26.287,26.233,26.223,26.236,26.232,26.329,26.697,27.022,27.446,26.341,8.75838,8.15517,-0.88657,,,,M1149clu,177.4391756,22.3125153
284,0.20071,0.0,2.0323,1.8814,0.5312,5.9473,12.7587,1.0,0,0.0,904800000.0,99.0,5.65,12.0028,33.0,0.0,0.00247528,,1000000000.0,21470900.0,10,4092,,,,,32.431,30.839,30.183,29.951,29.869,30.161,,,,,,,32.965,31.968,31.726,31.651,31.552,30.863,30.294,30.167,30.105,30.003,29.943,29.896,29.998,30.49,32.372,9.03303,6.98123,-3.06955,,,,M1149clu,177.4265403,22.3154959
285,0.46314,0.1896,0.5972,0.5064,0.1493,1.3594,1.22089,33.0,1,0.25,,99.0,0.06,1.96234,31.0,0.3,0.374872,,1000000000.0,4.89045,10,4092,,,,27.302,27.056,26.905,26.465,26.379,26.406,26.354,26.135,26.883,26.263,,,,27.622,27.513,27.434,27.055,26.711,26.487,26.485,26.408,26.349,26.254,26.67,26.786,27.04,27.243,25.769,8.82289,7.46189,-1.73963,,,,M1149clu,177.406265,22.3124967
286,5.3482,4.0462,7.5997,5.4106,3.9885,6.8702,0.560788,16.0,0,0.0,,99.0,5.72,0.620255,31.0,0.5,0.733353,,1000000000.0,124.496,10,4092,,,,33.535,,29.148,28.725,28.619,28.434,28.571,27.93,25.739,24.934,,,,,,,32.735,29.437,28.715,28.607,28.587,28.551,27.579,25.628,25.237,24.835,24.526,25.299,9.08266,9.20593,-0.74427,,,,M1149clu,177.4159053,22.3154036
287,0.0,0.0,0.2083,0.2038,0.0536,0.3834,8.03075,24.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.126699,10,4092,,,,27.884,26.981,26.6,26.462,26.379,26.347,26.338,25.819,,26.623,,,,28.337,28.286,27.752,26.919,26.602,26.445,26.374,26.361,26.341,26.267,27.011,27.356,27.731,26.712,26.991,9.15282,6.27982,-4.27562,,,,M1149clu,177.4129882,22.3131768
288,0.23026,0.0,8.0,1.7391,0.4504,5.363,0.728603,31.0,0,0.0,,99.0,2.16,0.571002,33.0,0.0,0.751638,,1000000000.0,2.47894,7,4064,,,,,,,29.073,29.056,28.789,28.919,27.608,,,,,,29.308,28.865,28.861,29.013,29.195,28.998,28.808,28.85,28.917,28.964,29.051,29.076,29.359,29.802,29.334,8.98477,7.46987,-2.58015,,,,M1149clu,177.428665,22.315473
289,1.5817,1.0599,1.9616,1.5047,1.1875,1.7991,1.25755,29.0,2,0.4,,99.0,1.12,1.6189,30.0,0.5,0.445102,,1000000000.0,320.234,10,4092,,,,27.603,27.142,26.236,25.481,24.777,24.76,24.496,23.96,23.574,23.466,,,,29.125,28.021,27.518,27.142,26.414,25.29,24.882,24.7,24.464,23.993,23.562,23.448,23.686,23.919,23.919,9.17966,9.6,-0.83351,,,,M1149clu,177.3966481,22.3123996
290,3.5636,3.3542,3.9755,3.6214,3.3275,3.9825,1.91767,2.0,0,0.0,806400000.0,99.0,2.73,8.21031,33.0,0.3,0.0164875,,1000000000.0,2504280000.0,10,4092,,,,29.303,27.941,27.403,27.514,27.502,27.518,27.306,25.578,26.102,25.963,,,,36.477,35.497,29.524,27.844,27.584,27.537,27.513,27.401,27.3,26.211,26.05,25.925,25.909,25.841,27.474,8.8835,9.10857,-0.24979,,,,M1149clu,177.4029554,22.3123671
292,0.30463,0.1569,0.3816,0.2778,0.1323,0.4027,3.74864,32.0,1,0.2,,99.0,3.26,10.1042,33.0,0.1,0.00639584,,1000000000.0,1.20555,10,4092,,,,27.434,26.509,26.28,26.438,26.353,26.375,26.14,25.707,27.327,26.257,,,,27.431,27.382,27.159,26.597,26.296,26.364,26.26,26.233,26.217,26.155,26.826,26.672,27.318,26.685,25.687,8.88522,6.81827,-2.52908,,,,M1149clu,177.4099681,22.3122926
293,5.9724,4.9851,8.0,2.4616,0.7161,6.4935,6.55663,26.0,0,0.15,,99.0,0.57,4.95789,9.0,0.0,0.0838317,,1000000000.0,6.11326,10,4092,,,,31.911,,30.067,29.263,28.824,29.147,28.902,,,,,,,43.655,33.387,31.802,30.91,30.452,30.046,29.592,29.148,28.815,28.414,28.056,27.952,27.843,28.167,28.057,9.10061,7.66613,-2.73656,,,,M1149clu,177.4387108,22.3153581
294,3.4919,0.2921,4.2252,1.0577,0.2815,3.547,3.2663,33.0,3,0.25,,99.0,3.96,1.91174,33.0,0.1,0.384477,,1000000000.0,8.88194,10,4092,,,,29.468,28.026,27.584,27.592,27.689,27.63,27.545,26.353,27.577,27.241,,,,28.856,28.655,28.748,28.431,28.001,27.7,27.506,27.463,27.514,27.3,27.215,27.487,27.844,27.922,26.969,8.86941,7.32411,-2.05842,,,,M1149clu,177.4163166,22.3123203
296,0.0,0.0,0.1158,0.1504,0.0349,0.4449,73.2609,1.0,0,0.0,508800000.0,99.0,0.54,74.2439,32.0,0.0,7.55354e-17,,1000000000.0,504836.0,10,4092,,,,28.321,28.424,27.744,27.942,28.071,28.184,28.157,,,,,,,28.97,28.967,28.499,28.128,28.039,28.105,28.122,28.156,28.177,28.229,29.003,29.369,29.888,30.406,32.627,8.86872,5.18742,-4.37092,,,,M1149clu,177.428342,22.3123075
