IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC,SIMBAD_MAIN_ID,SIMBAD_RA,SIMBAD_DEC,SIMBAD_OTYPE,SIMBAD_ZSPEC,SIMBAD_RVZ_QUAL,SIMBAD_RVZ_BIBCODE,SIMBAD_MATCH_SEP_ARCSEC,ZSPEC_SOURCE,SIMBAD_ZSPEC_USABLE_FOR_LENSING
2166,3.7674,3.6585,3.819,3.7281,3.6449,3.7916,12.3479,33.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,186.701,10,3935,,28.944,28.105,27.356,25.42,24.993,,24.875,,24.979,25.25,26.37,25.702,,,,,,27.126,25.394,25.333,25.508,25.654,25.748,25.85,25.628,25.934,25.956,26.033,26.145,27.42,9.21769,6.4783,-4.12448,,,,M1149clu,177.4240485,22.4034665,,,,,,,,,,False
2167,0.83384,0.7054,0.9044,0.7516,0.6406,0.8629,6.92682,2.0,0,0.0,1434000000.0,99.0,0.45,12.8794,27.0,0.4,0.00159688,,1000000000.0,1148670000.0,12,4095,,28.553,27.382,27.689,26.031,24.926,24.514,24.293,24.206,24.15,24.044,23.446,24.424,,,,27.604,27.419,27.251,26.173,24.884,24.457,24.296,24.217,24.125,23.959,23.902,24.289,24.59,25.075,26.959,9.18245,8.8397,-1.61856,,,,M1149clu,177.4203339,22.3908373,[MAT2017] MACS1149CLS 3496,177.4203387,22.3908342,G,0.56,D,2017ApJ...835..254M,0.0194888889150139,SIMBAD,False
2168,4.6907,3.8554,4.9565,4.4473,2.7704,5.8029,4.90342,33.0,1,0.5,,99.0,4.34,4.79142,33.0,0.5,0.0911079,,1000000000.0,1366.47,9,4088,,,,,29.354,28.107,27.646,27.488,27.746,27.458,26.744,24.688,25.935,,,,,,,30.391,28.602,28.065,27.793,27.626,27.469,26.434,25.192,25.334,25.005,24.736,25.565,9.01943,9.47224,-0.21002,,,,M1149clu,177.3971876,22.4033846,,,,,,,,,,False
2169,3.6465,3.4523,3.9095,3.4467,0.3232,3.801,57.4235,33.0,0,0.0,,99.0,0.3,62.0985,30.0,0.0,3.277e-14,,1000000000.0,77.2011,11,4094,,,,27.453,26.151,25.956,26.095,26.297,26.117,26.629,27.813,22.384,23.252,,,,,,27.037,26.137,26.183,26.378,26.529,26.63,26.674,26.485,26.774,26.793,26.872,27.021,28.111,8.7825,6.40073,-2.74701,,,,M1149clu,177.3856174,22.3909026,,,,,,,,,,False
2170,0.0,0.0,0.0411,0.0696,0.016,0.2315,234.457,1.0,0,0.0,508800000.0,99.0,0.3,236.731,33.0,0.0,3.93183e-52,,1000000000.0,182079.0,11,4093,,28.836,,28.648,27.388,27.2,27.658,27.387,27.315,27.418,,,,,,,28.416,28.355,27.723,27.471,27.522,27.519,27.563,27.586,27.589,27.723,28.525,28.94,29.422,29.957,32.201,8.774,4.71056,-4.4648,,,,M1149clu,177.4204981,22.4034023,,,,,,,,,,False
2172,4.386,1.1231,4.9674,3.9096,2.3205,6.0501,3.10139,33.0,1,0.5,,99.0,4.92,2.7912,33.0,0.5,0.247685,,1000000000.0,381.734,10,4090,,,30.12,,30.065,30.063,28.982,28.705,29.08,28.423,27.076,25.955,26.976,,,,,,34.754,30.656,29.543,29.061,28.799,28.632,28.48,27.53,26.338,26.333,26.075,25.856,26.758,9.08863,8.9752,-1.06673,,,,M1149clu,177.3936023,22.4039014,,,,,,,,,,False
2174,1.3457,0.8907,1.5719,0.857,0.36,1.4452,4.5866,29.0,1,0.05,,99.0,1.0,4.38059,28.0,0.0,0.111884,,1000000000.0,12.1705,9,4088,,,,,26.405,25.892,25.564,25.51,25.439,25.458,26.324,25.414,25.8,,,,26.514,26.525,26.575,26.464,25.768,25.659,25.508,25.499,25.568,25.559,25.657,26.051,26.233,26.785,25.535,8.81521,8.08296,-1.10466,,,,M1149clu,177.4214939,22.3908217,[MAT2017] MACS1149CLS 3494,177.4214972,22.3908222,G,0.58,D,2017ApJ...835..254M,0.011130837704874148,SIMBAD,False
2175,0.65792,0.5881,0.728,0.6386,0.5523,0.7181,2.1942,2.0,0,0.0,2000000000.0,99.0,0.34,8.80074,27.0,0.5,0.0122728,,1000000000.0,1684550000.0,10,4092,,,,28.271,25.772,24.59,24.102,23.851,23.75,23.696,23.408,23.497,24.029,,,,28.829,28.364,27.703,25.84,24.551,24.08,23.882,23.754,23.641,23.477,23.57,23.987,24.275,24.808,26.778,9.39399,8.98886,-2.79682,,,,M1149clu,177.4175754,22.3907056,[GKS2016] c290,177.4175787,22.3907031,G,0.52,D,2017ApJ...835..254M,0.014200554644788648,SIMBAD,False
2176,1.5651,1.389,1.5736,1.5059,1.3098,1.7523,16.581,33.0,3,0.2,,99.0,1.88,19.4236,33.0,0.2,6.05638e-05,,1000000000.0,95.688,12,4095,,27.173,26.423,26.404,26.318,26.089,25.736,25.576,25.553,25.393,26.131,24.252,23.712,,,,26.958,26.406,26.298,26.337,26.153,25.752,25.609,25.593,25.391,25.457,25.313,25.365,25.708,25.854,25.634,8.73394,8.66873,-0.35567,,,,M1149clu,177.4038237,22.4025698,,,,,,,,,,False
2177,1.7753,1.5855,1.886,3.0364,1.6846,4.518,16.6686,33.0,1,0.3,,99.0,3.88,13.9235,33.0,0.3,0.000947421,,1000000000.0,562.385,12,4095,,30.134,27.37,27.373,27.04,26.306,26.078,25.92,25.813,25.996,26.078,24.38,24.738,,,,,35.74,28.055,26.873,26.543,26.375,26.283,26.113,25.884,25.47,25.078,24.933,24.834,24.928,25.358,8.86945,9.74952,0.48331,,,,M1149clu,177.4198714,22.3907654,[MAT2017] MACS1149CLS 3493,177.419881,22.3907561,G,0.69,D,2017ApJ...835..254M,0.04628170550424298,SIMBAD,False
