candidate_family_id,image_number,catalog_index,id,ra,dec,catalog_z,simbad_zspec,simbad_main_id,simbad_system_hint,simbad_match_sep_arcsec,delta_z_from_family_median,color_rms_from_family_median,centroid_radius_arcsec,family_reliability
900006,2,1076,3049,177.4140493,22.3766624,1.116,1.096,MACSg J114939.31+222235.8,222235,0.8900678084584323,0.0,0.08213289535868093,46.58752320700228,0.8671781035813054
900007,1,609,1803,177.4004721,22.3954471,2.9526,3.04,[GKS2016] 115,,0.501677138785626,0.0,0.11518416929918317,0.43327355883830804,0.8863430911662126
900007,2,610,1804,177.4002444,22.3953304,2.8286,3.04,[GKS2016] 115,,0.3648786606776881,0.0,0.11518416929918317,0.4332736980117857,0.8863430911627104
900008,1,119,349,177.4088675,22.41368,0.8738,0.8694,CLASHVLT J114938.12+222449.3,222449,0.018076751902506086,0.0012999999999999678,0.06702331683824662,55.18511023568851,0.8303204400360937
900008,2,382,1153,177.3778643,22.4027966,0.8629,0.8668,CLASHVLT J114930.69+222410.1,222410,0.03329384258143228,0.0012999999999999678,0.07739186003708654,55.18699909716676,0.8210231638936288
900009,1,152,433,177.4088268,22.4159408,0.9688,0.67,[MAT2017] MACS1149CLS  803,,0.00569999166393384,0.0,0.09952889027814932,49.6783293365938,0.8385882723399855
900009,2,443,1290,177.3832484,22.4017084,0.6448,0.67,[MAT2017] MACS1149CLS 2334,,0.02053838284002419,0.0,0.08411726508698558,49.680197051193886,0.8566421940223716
900010,1,159,459,177.386375,22.4129282,1.7773,1.7887,CLASHVLT J114932.71+222446.6,222446,0.23181081078343796,0.0006500000000000394,0.08832786932786252,14.099040746668928,0.9104176409540115
900010,2,206,647,177.3941118,22.4097351,1.7632,1.79,[BIO2017] M1149U-9345824350,,0.030938480392101092,0.0006500000000000394,0.08832786932786252,14.099175842800607,0.9104175271437698
900011,1,161,464,177.4117013,22.4126929,1.143,1.1363,CLASHVLT J114938.81+222445.7,222445,0.02635000993253076,0.0014499999999999513,0.09387341876164998,36.15176837539281,0.8441374963246149
900011,2,718,2026,177.4156216,22.3929383,1.163,1.1392,CLASHVLT J114939.75+222334.6,222334,0.016824108491000134,0.0014499999999999513,0.09387341876164998,36.15185204078375,0.8441373295196175
900012,1,673,1943,177.4165828,22.3939296,0.8236,0.9603,CLASHVLT J114939.98+222338.2,222338,0.05008193659868579,0.0008000000000000229,0.2659804386604394,70.4984888743461,0.4887146094424894
900012,2,767,2153,177.3914166,22.3906558,0.9099,0.9663,CLASHVLT J114933.94+222326.4,222326,0.025317168797818108,0.005199999999999982,0.17911405235212563,14.388260067680097,0.46594022968388865
900012,3,797,2223,177.3944134,22.3891731,1.1654,0.9617,CLASHVLT J114934.66+222321.0,222321,0.02563790763740525,0.0005999999999999339,0.14407539259013086,6.430183920268361,0.8309312885929178
900012,4,799,2226,177.395245,22.3901002,0.9483,0.9605,CLASHVLT J114934.86+222324.3,222324,0.02305592907679487,0.0006000000000000449,0.07135803213374066,2.118654599163882,0.9363332234518361
900012,5,813,2257,177.3868552,22.3896266,0.7232,0.9596,CLASHVLT J114932.84+222322.5,222322,0.029371335638146097,0.0015000000000000568,0.26748825908813206,29.714586585383252,0.5364463504253466
900012,6,817,2263,177.3898961,22.3893706,0.9388,0.9655,CLASHVLT J114933.58+222321.7,222321,0.02352969177669534,0.0043999999999999595,0.08912123063557795,19.838118601519465,0.634512912744639
900013,1,478,1399,177.391837,22.4000943,1.3848,1.25,CLASHVLT J114934.04+222400.4,222400,0.05314347279924793,0.0001500000000000945,0.19975007822276292,31.042230845766557,0.7033250631551194
900013,2,682,1963,177.3907069,22.3935806,1.4193,1.249,CLASHVLT J114933.76+222337.1,222337,0.11993492765380015,0.0008499999999997954,0.06534786721844987,17.877162410895927,0.9260952861874815
900013,3,843,2321,177.3924607,22.3887768,1.6266,1.2497,CLASHVLT J114934.19+222319.6,222319,0.041794484681310376,0.00014999999999987246,0.09075774760316556,17.194893613439046,0.9114118354543578
900013,4,883,2425,177.4086203,22.3868904,1.3645,1.2504,CLASHVLT J114938.07+222312.8,222312,0.02544019716269251,0.0005500000000000504,0.10939649788727308,46.639680874134754,0.8288854447866697
900014,1,185,558,177.4096051,22.4114107,0.9376,0.9863,CLASHVLT J114938.31+222441.1,222441,0.023727303074453594,0.0012999999999999678,0.07608527288509925,46.471936916251394,0.8463870442597046
900014,2,311,951,177.382347,22.4057948,0.948,0.9837,CLASHVLT J114931.76+222420.9,222420,0.023990118267032696,0.0012999999999999678,0.07608527288509925,46.472831607057984,0.8463847447830941
900015,1,199,617,177.3955964,22.4110464,0.6817,0.66,[MAT2017] MACS1149CLS 1278,,0.025589451868342526,0.0,0.09872461699090043,9.641127020894235,0.9074687278565219
900015,2,296,920,177.4013897,22.4109782,0.7345,0.66,[GKS2016] c191,,0.019309229426492824,0.0,0.07804866270475101,9.641129386734244,0.9329109603105632
900016,1,712,2018,177.4065381,22.3928623,1.5292,1.8927,CLASHVLT J114937.57+222334.3,222334,0.19267179955099453,0.0,0.058285396970424314,1.1126492618092254,0.9550263872341491
900016,2,714,2020,177.4060295,22.3924611,1.4897,1.8927,CLASHVLT J114937.45+222332.8,222332,0.07016401811429314,0.0,0.058285396970424314,1.1126501906309687,0.9550263871691975
900017,1,713,2019,177.4069065,22.404595,2.8606,3.02,[TBD2016] 201.2,201,0.28911181498739713,0.002000000000000224,0.03156286244487865,45.22948452429137,0.8432856761726009
900017,2,955,2682,177.391535,22.3838726,2.8444,3.024,CLASHVLT J114933.97+222302.0,222302,0.020786504619280954,0.0019999999999997797,0.03409178786746235,45.230562685719924,0.8422299827728124
900018,1,221,703,177.4054062,22.4084716,1.0062,1.0856,ALMA J114937.2+222430,,0.14286425270548592,5.0000000000105516e-05,0.11886888785548556,10.000291048784561,0.8776775629409812
900018,2,347,1028,177.4009898,22.4047039,1.169,1.0857,CLASHVLT J114936.24+222416.9,222416,0.03463040057134079,5.0000000000105516e-05,0.11886888785548556,10.00036426799354,0.8776775208549531
900019,1,387,1164,177.4034096,22.4024367,1.5109,1.4886,CLASHVLT J114936.81+222408.9,222408,0.1240226263295317,0.00029999999999996696,3.430876222811018,61.18435814118661,0.05
900019,2,735,2071,177.3782545,22.3923354,1.7913,1.4922,CLASHVLT J114930.77+222332.4,222332,0.03999249726959907,0.0033000000000000806,0.11923156740841143,30.110639165516304,0.6968887482213166
900019,3,743,2085,177.3782341,22.3916976,1.8447,1.4889,CLASHVLT J114930.77+222330.0,222330,0.0598590798714262,0.0,3.668582331286647,31.110567474277204,0.05
900020,1,750,2104,177.3925985,22.3917283,5.7849,5.8,CLASH MACSJ1149.6+2223 1632,,0.014673183240938937,0.0,0.04405772728288831,18.757640889649092,0.9545512253595337
900020,2,864,2384,177.3931022,22.4021388,5.2468,5.8,[MAC2016] M1149cl  22717,,0.01783823963956209,0.0,0.048262822130497436,18.757639487106132,0.9517462900623788
900021,1,297,922,177.4151184,22.4061995,1.7621,1.68,CLASHVLT J114939.63+222422.3,222422,0.030037464588402576,0.0020499999999998852,0.11785703733761543,30.13519215537035,0.7913553397737532
900021,2,303,934,177.3970095,22.4061831,1.6645,1.6759,CLASHVLT J114935.24+222422.3,222422,0.5536637791130463,0.0020500000000001073,0.11785703733761543,30.13519393354585,0.7913553370149885
900022,1,316,963,177.4016474,22.405749,0.6116,0.8617,CLASHVLT J114936.37+222420.4,222420,0.45060715338166646,0.0,0.0922337384041218,0.22355631984901347,0.9188116434230823
900022,2,317,965,177.4015537,22.40566,0.8697,0.8617,CLASHVLT J114936.37+222420.4,222420,0.022995997171083648,0.0,0.0922337384041218,0.2235563547289915,0.9188116434226118
900023,1,871,2403,177.3982116,22.3873628,1.0408,0.947,CLASHVLT J114935.57+222314.5,222314,0.02972227250013731,0.0020999999999999908,0.08249109800457266,7.60449314375906,0.8547554226896729
900023,2,954,2679,177.3967982,22.3833453,0.9761,0.9428,CLASHVLT J114935.23+222300.0,222300,0.03022876955410835,0.0020999999999999908,0.08249109800457266,7.60450365168615,0.854755418223978
