#REFERENCE 0 64.0381417 -24.0674722
8893 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
8893 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
8893 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
8893 64.0381417 -24.0674722 0.3232 0.3232 0.00 0.00
4551 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
4551 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
4551 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
4551 64.0381417 -24.0674722 0.3223 0.3223 0.00 0.00
7959 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
7959 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
7959 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
7959 64.0381417 -24.0674722 0.3205 0.3205 0.00 0.00
7360 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
7360 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
7360 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
7360 64.0381417 -24.0674722 0.3172 0.3172 0.00 0.00
4026 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
4026 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
4026 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
4026 64.0381417 -24.0674722 0.3169 0.3169 0.00 0.00
3 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
3 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
3 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
3 64.0381417 -24.0674722 0.3143 0.3143 0.00 0.00
9087 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
9087 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
9087 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
9087 64.0381417 -24.0674722 0.3125 0.3125 0.00 0.00
3364 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
3364 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
3364 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
3364 64.0381417 -24.0674722 0.3121 0.3121 0.00 0.00
9305 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
9305 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
9305 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
9305 64.0381417 -24.0674722 0.3115 0.3115 0.00 0.00
4103 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
4103 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
4103 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
4103 64.0381417 -24.0674722 0.3093 0.3093 0.00 0.00
2672 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
2672 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
2672 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
2672 64.0381417 -24.0674722 0.3077 0.3077 0.00 0.00
8961 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
8961 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
8961 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
8961 64.0381417 -24.0674722 0.3071 0.3071 0.00 0.00
4055 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
4055 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
4055 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
4055 64.0381417 -24.0674722 0.3000 0.3000 0.00 0.00
7763 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
7763 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
7763 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
7763 64.0381417 -24.0674722 0.2982 0.2982 0.00 0.00
3713 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
3713 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
3713 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
3713 64.0381417 -24.0674722 0.2954 0.2954 0.00 0.00
4021 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
4021 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
4021 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
4021 64.0381417 -24.0674722 0.2939 0.2939 0.00 0.00
2737 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
2737 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
2737 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
2737 64.0381417 -24.0674722 0.2931 0.2931 0.00 0.00
5968 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
5968 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
5968 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
5968 64.0381417 -24.0674722 0.2913 0.2913 0.00 0.00
8557 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
8557 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
8557 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
8557 64.0381417 -24.0674722 0.2909 0.2909 0.00 0.00
9326 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
9326 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
9326 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
9326 64.0381417 -24.0674722 0.2906 0.2906 0.00 0.00
4790 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
4790 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
4790 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
4790 64.0381417 -24.0674722 0.2841 0.2841 0.00 0.00
2609 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
2609 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
2609 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
2609 64.0381417 -24.0674722 0.2827 0.2827 0.00 0.00
1779 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
1779 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
1779 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
1779 64.0381417 -24.0674722 0.2806 0.2806 0.00 0.00
2968 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
2968 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
2968 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
2968 64.0381417 -24.0674722 0.2747 0.2747 0.00 0.00
3719 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
3719 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
3719 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
3719 64.0381417 -24.0674722 0.2729 0.2729 0.00 0.00
4434 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
4434 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
4434 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
4434 64.0381417 -24.0674722 0.2633 0.2633 0.00 0.00
8458 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
8458 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
8458 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
8458 64.0381417 -24.0674722 0.2627 0.2627 0.00 0.00
8975 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
8975 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
8975 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
8975 64.0381417 -24.0674722 0.2607 0.2607 0.00 0.00
9129 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
9129 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
9129 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
9129 64.0381417 -24.0674722 0.2602 0.2602 0.00 0.00
9270 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
9270 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
9270 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
9270 64.0381417 -24.0674722 0.2583 0.2583 0.00 0.00
2681 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
2681 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
2681 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
2681 64.0381417 -24.0674722 0.2559 0.2559 0.00 0.00
3796 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
3796 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
3796 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
3796 64.0381417 -24.0674722 0.2541 0.2541 0.00 0.00
7979 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
7979 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
7979 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
7979 64.0381417 -24.0674722 0.2536 0.2536 0.00 0.00
4150 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
4150 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
4150 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
4150 64.0381417 -24.0674722 0.2527 0.2527 0.00 0.00
7764 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
7764 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
7764 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
7764 64.0381417 -24.0674722 0.2451 0.2451 0.00 0.00
8847 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
8847 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
8847 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
8847 64.0381417 -24.0674722 0.2435 0.2435 0.00 0.00
4812 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
4812 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
4812 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
4812 64.0381417 -24.0674722 0.2435 0.2435 0.00 0.00
7503 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
7503 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
7503 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
7503 64.0381417 -24.0674722 0.2433 0.2433 0.00 0.00
4737 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
4737 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
4737 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
4737 64.0381417 -24.0674722 0.2426 0.2426 0.00 0.00
4428 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
4428 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
4428 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
4428 64.0381417 -24.0674722 0.2393 0.2393 0.00 0.00
4748 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
4748 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
4748 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
4748 64.0381417 -24.0674722 0.2352 0.2352 0.00 0.00
8369 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
8369 64.038142 -24.067472 0.0000 0.0000 0.00 0.00
8369 64.0381417 -24.0674722 0.0000 0.0000 0.00 0.00
8369 64.0381417 -24.0674722 0.2265 0.2265 0.00 0.00
