chi multiples
 N    ID    z   Narcs    chip    chix    chiy    chia   rmss     rmsi    dx      dy    nwarn
23   16.2 2.095   5      8.96    0.00    0.00    0.00   0.081    0.00    N/A     N/A   5
24  16.1c 2.095   1      3.04    0.00    0.00    0.00   0.108    0.00    0.08   -0.08  1
24  16.1b 2.095   1      2.39    0.00    0.00    0.00   0.096    0.00   -0.05    0.08  1
24  16.1a 2.095   1      0.26    0.00    0.00    0.00   0.031    0.00   -0.03   -0.01  1
24   16.1 2.095   3      5.69    0.00    0.00    0.00   0.085    0.00    N/A     N/A   3
25     4c 2.107   1      8.57    0.00    0.00    0.00   0.194    0.00   -0.05   -0.19  1
25     4b 2.107   1     12.28    0.00    0.00    0.00   0.232    0.00    0.22   -0.08  1
25     4a 2.107   1     22.61    0.00    0.00    0.00   0.315    0.00   -0.17    0.27  1
25      4 2.107   3     43.46    0.00    0.00    0.00   0.252    0.00    N/A     N/A   3
26    37c 2.218   1     38.53    0.00    0.00    0.00   0.590    0.00   -0.58    0.12  1
26    37b 2.218   1     42.81    0.00    0.00    0.00   0.622    0.00    0.42   -0.46  1
26    37a 2.218   1     15.56    0.00    0.00    0.00   0.375    0.00    0.16    0.34  1
26     37 2.218   3     96.90    0.00    0.00    0.00   0.540    0.00    N/A     N/A   3
27   203c 2.245   1      0.40    0.00    0.00    0.00   0.017    0.00   -0.02   -0.01  1
27   203b 2.245   1      0.40    0.00    0.00    0.00   0.017    0.00    0.02    0.01  1
27    203 2.245   2      0.81    0.00    0.00    0.00   0.017    0.00    N/A     N/A   2
28     8c 2.282   1      7.21    0.00    0.00    0.00   0.299    0.00    0.27    0.12  1
28     8b 2.282   1     10.66    0.00    0.00    0.00   0.363    0.00   -0.36    0.06  1
28     8a 2.282   1      3.21    0.00    0.00    0.00   0.199    0.00    0.09   -0.18  1
28      8 2.282   3     21.08    0.00    0.00    0.00   0.295    0.00    N/A     N/A   3
29    29c 2.298   1     16.24    0.00    0.00    0.00   0.385    0.00    0.32   -0.22  1
29    29b 2.298   1     15.54    0.00    0.00    0.00   0.377    0.00   -0.38    0.02  1
29    29a 2.298   1      4.66    0.00    0.00    0.00   0.206    0.00    0.06    0.20  1
29     29 2.298   3     36.44    0.00    0.00    0.00   0.333    0.00    N/A     N/A   3
30    23b 2.542   1     22.54    0.00    0.00    0.00   0.409    0.00    0.13    0.39  1
30    23a 2.542   1     22.54    0.00    0.00    0.00   0.409    0.00   -0.13   -0.39  1
30     23 2.542   2     45.08    0.00    0.00    0.00   0.409    0.00    N/A     N/A   2
31   107c 2.921   1     11.98    0.00    0.00    0.00   0.285    0.00    0.10    0.27  1
31   107b 2.921   1     37.62    0.00    0.00    0.00   0.505    0.00    0.08   -0.50  1
31   107a 2.921   1     12.36    0.00    0.00    0.00   0.290    0.00   -0.18    0.23  1
31    107 2.921   3     61.96    0.00    0.00    0.00   0.374    0.00    N/A     N/A   3
32   109b 2.989   1     10.66    0.00    0.00    0.00   0.368    0.00   -0.28   -0.24  1
32   109a 2.989   1     10.66    0.00    0.00    0.00   0.368    0.00    0.28    0.24  1
32    109 2.989   2     21.33    0.00    0.00    0.00   0.368    0.00    N/A     N/A   2
33    26c 3.081   1      5.22    0.00    0.00    0.00   0.250    0.00    0.16   -0.19  1
33    26b 3.081   1      6.64    0.00    0.00    0.00   0.282    0.00    0.05    0.28  1
33    26a 3.081   1      4.35    0.00    0.00    0.00   0.228    0.00   -0.21   -0.09  1
33     26 3.081   3     16.22    0.00    0.00    0.00   0.255    0.00    N/A     N/A   3
34    25c 3.111   1      9.49    0.00    0.00    0.00   0.331    0.00    0.20   -0.26  1
34    25b 3.111   1     19.38    0.00    0.00    0.00   0.474    0.00   -0.02    0.47  1
34    25a 3.111   1      6.53    0.00    0.00    0.00   0.275    0.00   -0.18   -0.21  1
34     25 3.111   3     35.40    0.00    0.00    0.00   0.370    0.00    N/A     N/A   3
35  14.2c 3.221   1      0.70    0.00    0.00    0.00   0.029    0.00    0.03    0.01  1
35  14.2b 3.221   1      0.73    0.00    0.00    0.00   0.029    0.00   -0.03   -0.01  1
35  14.2a 3.221   1      0.04    0.00    0.00    0.00   0.007    0.00    0.00   -0.01  1
35   14.2 3.221   3      1.46    0.00    0.00    0.00   0.024    0.00    N/A     N/A   3
36  14.1f 3.221   1      8.71    0.00    0.00    0.00   0.197    0.00   -0.03    0.19  1
36  14.1e 3.221   1      9.05    0.00    0.00    0.00   0.200    0.00    0.18   -0.08  1
36  14.1d 3.221   1      0.99    0.00    0.00    0.00   0.066    0.00    0.06    0.03  1
36  14.1c 3.221   1      1.17    0.00    0.00    0.00   0.072    0.00   -0.05   -0.05  1
36  14.1b 3.221   1      2.55    0.00    0.00    0.00   0.106    0.00   -0.09   -0.05  1
36  14.1a 3.221   1      1.48    0.00    0.00    0.00   0.081    0.00   -0.07   -0.04  1
36   14.1 3.221   6     23.95    0.00    0.00    0.00   0.133    0.00    N/A     N/A   6
37  20.7c 3.222   1      4.24    0.00    0.00    0.00   0.201    0.00    0.00    0.20  1
37  20.7b 3.222   1     16.40    0.00    0.00    0.00   0.395    0.00   -0.22   -0.33  1
37  20.7a 3.222   1      6.59    0.00    0.00    0.00   0.251    0.00    0.21    0.13  1
37   20.7 3.222   3     27.23    0.00    0.00    0.00   0.294    0.00    N/A     N/A   3
38  20.6c 3.222   1      4.70    0.00    0.00    0.00   0.214    0.00    0.03    0.21  1
38  20.6b 3.222   1     19.14    0.00    0.00    0.00   0.431    0.00   -0.24   -0.35  1
38  20.6a 3.222   1      6.82    0.00    0.00    0.00   0.257    0.00    0.21    0.14  1
38   20.6 3.222   3     30.67    0.00    0.00    0.00   0.315    0.00    N/A     N/A   3
39  20.5c 3.222   1      5.90    0.00    0.00    0.00   0.241    0.00    0.05    0.24  1
39  20.5b 3.222   1     19.61    0.00    0.00    0.00   0.440    0.00   -0.26   -0.36  1
39  20.5a 3.222   1      5.72    0.00    0.00    0.00   0.238    0.00    0.20    0.12  1
39   20.5 3.222   3     31.23    0.00    0.00    0.00   0.320    0.00    N/A     N/A   3
40  20.4c 3.222   1      0.87    0.00    0.00    0.00   0.094    0.00   -0.08    0.05  1
40  20.4a 3.222   1      0.87    0.00    0.00    0.00   0.094    0.00    0.08   -0.05  1
40   20.4 3.222   2      1.74    0.00    0.00    0.00   0.094    0.00    N/A     N/A   2
41  20.3c 3.222   1      0.98    0.00    0.00    0.00   0.100    0.00   -0.08    0.06  1
41  20.3a 3.222   1      0.98    0.00    0.00    0.00   0.100    0.00    0.08   -0.06  1
41   20.3 3.222   2      1.95    0.00    0.00    0.00   0.100    0.00    N/A     N/A   2
42  20.1c 3.222   1      5.45    0.00    0.00    0.00   0.235    0.00    0.09    0.22  1
42  20.1b 3.222   1     17.86    0.00    0.00    0.00   0.425    0.00   -0.33   -0.27  1
42  20.1a 3.222   1      5.87    0.00    0.00    0.00   0.243    0.00    0.24    0.05  1
42   20.1 3.222   3     29.18    0.00    0.00    0.00   0.313    0.00    N/A     N/A   3
43     1c 3.238   1      0.11    0.00    0.00    0.00   0.007    0.00   -0.01    0.00  1
43     1b 3.238   1      4.36    0.00    0.00    0.00   0.045    0.00   -0.03    0.04  1
43     1a 3.238   1      5.48    0.00    0.00    0.00   0.050    0.00    0.03   -0.04  1
43      1 3.238   3      9.95    0.00    0.00    0.00   0.039    0.00    N/A     N/A   3
44    28c 3.253   1     17.27    0.00    0.00    0.00   0.376    0.00    0.28   -0.25  1
44    28b 3.253   1     11.17    0.00    0.00    0.00   0.303    0.00   -0.29    0.10  1
44    28a 3.253   1      2.89    0.00    0.00    0.00   0.154    0.00    0.01    0.15  1
44     28 3.253   3     31.33    0.00    0.00    0.00   0.293    0.00    N/A     N/A   3
45     3c 3.290   1     17.45    0.00    0.00    0.00   0.343    0.00   -0.12   -0.32  1
45     3b 3.290   1     23.77    0.00    0.00    0.00   0.400    0.00    0.19    0.35  1
45     3a 3.290   1      0.93    0.00    0.00    0.00   0.079    0.00   -0.07   -0.03  1
45      3 3.290   3     42.14    0.00    0.00    0.00   0.308    0.00    N/A     N/A   3
46   204c 3.291   1      8.25    0.00    0.00    0.00   0.322    0.00    0.05    0.32  1
46   204b 3.291   1     56.88    0.00    0.00    0.00   0.844    0.00   -0.03   -0.84  1
46   204a 3.291   1     22.22    0.00    0.00    0.00   0.528    0.00   -0.03    0.53  1
46    204 3.291   3     87.35    0.00    0.00    0.00   0.604    0.00    N/A     N/A   3
47    11c 3.292   1      4.06    0.00    0.00    0.00   0.205    0.00    0.20    0.01  1
47    11b 3.292   1     12.26    0.00    0.00    0.00   0.355    0.00   -0.17   -0.31  1
47    11a 3.292   1      8.75    0.00    0.00    0.00   0.300    0.00   -0.03    0.30  1
47     11 3.292   3     25.07    0.00    0.00    0.00   0.293    0.00    N/A     N/A   3
48   9.3b 3.292   1      9.60    0.00    0.00    0.00   0.363    0.00    0.11    0.35  1
48   9.3a 3.292   1      9.60    0.00    0.00    0.00   0.363    0.00   -0.11   -0.35  1
48    9.3 3.292   2     19.19    0.00    0.00    0.00   0.363    0.00    N/A     N/A   2
49   9.2b 3.292   1      9.00    0.00    0.00    0.00   0.347    0.00    0.05    0.34  1
49   9.2a 3.292   1      9.00    0.00    0.00    0.00   0.347    0.00   -0.05   -0.34  1
49    9.2 3.292   2     18.00    0.00    0.00    0.00   0.347    0.00    N/A     N/A   2
50   9.1b 3.292   1      6.49    0.00    0.00    0.00   0.288    0.00   -0.02    0.29  1
50   9.1a 3.292   1      6.49    0.00    0.00    0.00   0.288    0.00    0.02   -0.29  1
50    9.1 3.292   2     12.98    0.00    0.00    0.00   0.288    0.00    N/A     N/A   2
51    30c 3.440   1     37.63    0.00    0.00    0.00   0.566    0.00   -0.03    0.57  1
51    30b 3.440   1     88.00    0.00    0.00    0.00   0.866    0.00    0.04   -0.86  1
51    30a 3.440   1     10.55    0.00    0.00    0.00   0.300    0.00   -0.01    0.30  1
51     30 3.440   3    136.18    0.00    0.00    0.00   0.622    0.00    N/A     N/A   3
52    27c 3.492   1     10.90    0.00    0.00    0.00   0.361    0.00    0.31   -0.19  1
52    27b 3.492   1     12.73    0.00    0.00    0.00   0.390    0.00   -0.38   -0.06  1
52    27a 3.492   1      5.88    0.00    0.00    0.00   0.265    0.00    0.08    0.25  1
52     27 3.492   3     29.51    0.00    0.00    0.00   0.342    0.00    N/A     N/A   3
53     6c 3.607   1      0.68    0.00    0.00    0.00   0.085    0.00   -0.08    0.02  1
53     6b 3.607   1      8.12    0.00    0.00    0.00   0.292    0.00    0.29    0.05  1
53     6a 3.607   1      4.55    0.00    0.00    0.00   0.219    0.00   -0.21   -0.07  1
53      6 3.607   3     13.35    0.00    0.00    0.00   0.216    0.00    N/A     N/A   3
54   205c 3.715   1      7.58    0.00    0.00    0.00   0.298    0.00    0.02    0.30  1
54   205b 3.715   1     42.62    0.00    0.00    0.00   0.706    0.00    0.22   -0.67  1
54   205a 3.715   1     16.87    0.00    0.00    0.00   0.444    0.00   -0.24    0.37  1
54    205 3.715   3     67.07    0.00    0.00    0.00   0.511    0.00    N/A     N/A   3
55    18b 3.871   1      1.31    0.00    0.00    0.00   0.133    0.00   -0.13   -0.03  1
55    18a 3.871   1      1.31    0.00    0.00    0.00   0.133    0.00    0.13    0.03  1
55     18 3.871   2      2.63    0.00    0.00    0.00   0.133    0.00    N/A     N/A   2
